Alagoas | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
&Aacute;gua Branca,2700102,&aacute;gua-branquense,NAYARA EMMANUELA BATISTA FEITOSA,473.845,19008,40.60,19550,97,0.549,14.76,169543567.98,127510311.62,10001.22,
Anadia,2700201,anadiense,PAULO VICTOR PEREIRA ROCHA,186.074,13966,75.03,14193,94.4,0.568,9.71,102688674.35,104257003.82,14306.13,
Arapiraca,2700300,arapiraquense,JOSE LUCIANO BARBOSA DA SILVA,346.188,234696,678.99,243661,95.9,0.649,14.19,1321959182.72,1331857809.73,25248.44,
Atalaia,2700409,atalaiense,CECILIA LIMA HERRMANN,533.259,37512,70.34,38530,92.5,0.561,16.82,310460884.42,312115935.53,31559.62,
Barra de Santo Ant&ocirc;nio,2700508,barrense,LIVIA CARLA DA SILVA ALVES,131.364,16365,124.58,16735,93.3,0.557,19.01,148027243.61,152788781.78,16172.16,
Barra de S&atilde;o Miguel,2700607,barrense,LUIZ HENRIQUE LIMA ALVES PINTO,74.332,7944,106.99,8118,96.2,0.615,6.37,135857255.66,110294093.25,28270.19,
Batalha,2700706,batalhense,WAGNEY DANTAS CORREIA CAJE,331.752,16448,52.07,17103,95.9,0.594,10.95,121154953.38,132135038.8,12469.24,
Bel&eacute;m,2700805,belenense,ADALBERTO ANTERO TORRES,66.629,4722,70.87,4820,97.5,0.593,28.17,78443209.9,60888176.08,45271.74,
Belo Monte,2700904,belo-montense,DALMO AUGUSTO DE ALMEIDA J&Uacute;NIOR,322.887,5936,17.77,5898,96.3,0.517,18.69,68894410.73,74349785.61,22537.83,
Boca da Mata,2701001,matense,BRUNO FEIJ&Oacute; TEIXEIRA,192.952,21187,109.78,21517,95.3,0.604,6.56,177678971.08,170166148.97,18448.64,
