Goi&aacute;s | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Abadia de Goi&aacute;s,5200050,abadiense,WANDER SARAIVA DE CARVALHO,143.357,19128,133.43,21165,97.2,0.708,13.94,120682199.35,97630667.97,38622,
Abadi&acirc;nia,5200100,abadianense,ITAMAR VIEIRA GOMES,1044.555,17232,16.50,17638,94.3,0.689,16.13,105196880.39,106935313.08,21334.94,
Acre&uacute;na,5200134,acreunense,CLAUDIOMAR CONTIN PORTUGAL,1566.742,21568,13.77,21995,97.1,0.686,7.52,150176408.71,140352593.89,46315.9,
Adel&acirc;ndia,5200159,adelandense,EDSON VIEIRA DE PAULA,115.385,2297,19.91,2297,100,0.702,-,29860803.8,27283183.67,19400.94,
&Aacute;gua Fria de Goi&aacute;s,5200175,&aacute;gua-friense,VIRGINIA ANGELICA SANTOS CASTRO,2023.636,4954,2.45,4991,97.4,0.671,-,57471275.2,50313805,91260.12,
&Aacute;gua Limpa,5200209,&aacute;gua-limpense,JOS&Eacute; CARLOS GUIMAR&Atilde;ES FILHO,458.836,1858,4.05,1856,97.4,0.722,40,32338754.81,28250931.71,35293.9,
&Aacute;guas Lindas de Goi&aacute;s,5200258,&aacute;guas lindense,LUCAS DE CARVALHO ANTONIETTI,191.817,225693,1176.61,240613,96.6,0.686,10.92,762150047.13,659045432.72,11052.96,
Alex&acirc;nia,5200308,alexaniense,WARLEY FERREIRA GOUVEIA,846.876,27008,31.89,28009,97,0.682,5.04,191671673.86,176962861.52,39776.23,
Alo&acirc;ndia,5200506,aloandense,RENATO BATISTA DA SILVA,102.094,1973,19.33,1984,98.1,0.697,-,28792898.68,24835092.75,32251.19,
Alto Horizonte,5200555,alto horizontino,DIOGO RODRIGUES DE SOUSA,500.342,6072,12.14,6375,97,0.719,15.5,165999180.31,156932787.25,188378.9,
Alto Para&iacute;so de Goi&aacute;s,5200605,alto-paraisense,MARCUS ADILSON RINCO,2594.998,10306,3.97,10936,98,0.713,7.46,80517354.61,73162666.05,38319.04,
Alvorada do Norte,5200803,alvoradense,DAVID MOREIRA DE CARVALHO,1268.347,8446,6.66,8597,98,0.660,7.94,46831208.16,48089854.87,19317.45,
Amaralina,5200829,amaralinense,D&Aacute;SIO MARQUES FERREIRA,1343.742,3268,2.43,3281,92.2,0.609,-,34003627.39,31471517.42,28148.86,
Americano do Brasil,5200852,americanense-do-Brasil,RAPHAEL DE OLIVEIRA CARVALHO,133.834,5259,39.29,5281,97.4,0.700,-,28940276.66,50000,14694.5,
Amorin&oacute;polis,5200902,amorinopolense,GUSTAVO SILVA DE OLIVEIRA,406.930,3007,7.39,2952,98.4,0.681,-,35862282.22,30192753.57,39489.53,
An&aacute;polis,5201108,anapolino,MARCIO AURELIO CORREA,935.672,398869,426.29,415847,96.3,0.737,12.53,2227578715.13,2318230931.87,44860.34,
Anhanguera,5201207,anhanguerino,MARCELO MARTINS DE PAIVA,55.569,924,16.63,921,100,0.725,-,27918344.48,25331918.33,18523.83,
Anicuns,5201306,anicuense,PAULO C&Eacute;SAR JOS&Eacute; DO NASCIMENTO,976.038,18503,18.96,18443,98.4,0.714,20.51,107943616.57,105586958.09,23178.92,
Aparecida de Goi&acirc;nia,5201405,aparecidense,LEANDRO VILELA VELLOSO,279.954,527796,1885.30,550925,95.3,0.718,14.52,2278178141.91,2525693897.86,28213.26,
Aparecida do Rio Doce,5201454,riodocense,EDY CARLOS GON&Ccedil;ALVES,603.254,2907,4.82,3012,93.3,0.693,-,45004340.9,41401973.15,44491.53,
Apor&eacute;,5201504,aporeano,LEONARDO DE MORAES CARVALHO,2899.237,4325,1.49,4452,99.1,0.693,15.87,66300656.64,59469872.91,92759.84,
Ara&ccedil;u,5201603,ara&ccedil;uense,MILTON LEMES DE PAULA,149.776,3799,25.36,3842,99,0.693,27.78,37276609.53,30995604.02,21303.17,
Aragar&ccedil;as,5201702,aragarcense,RICARDO GALVAO DE SOUSA,661.677,18390,27.79,18604,98.3,0.732,26.18,90071427.1,87266795.07,13606.58,
Aragoi&acirc;nia,5201801,aragoianense,WALDIR BATISTA RIOS,218.125,11890,54.51,12554,98,0.684,9.71,71148567.84,67986131.65,16321.67,
Araguapaz,5202155,araguapaense,FRANCISCO DEURISTOM GON&Ccedil;ALVES DA SILVA,2188.100,7153,3.27,7182,97.8,0.674,-,49811992.47,47669080.47,23107.53,
