Maranh&atilde;o | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
A&ccedil;ail&acirc;ndia,2100055,a&ccedil;ailandense,BENJAMIM DE OLIVEIRA,5805.159,106550,18.35,110506,97.7,0.672,12.53,715311395.6,666944885.25,33649.84,
Afonso Cunha,2100105,afonsense,PEDRO FERREIRA MEDEIROS,371.765,6144,16.55,6296,96.6,0.529,-,74322131.17,89330489.13,12828.8,
&Aacute;gua Doce do Maranh&atilde;o,2100154,aguadocense,MARIA ELIANE DA COSTA DIAS,442.292,12142,27.45,12446,98.3,0.500,6.9,81224134.72,73764991.66,7986.15,
Alc&acirc;ntara,2100204,alcantarense,NIVALDO ARA&Uacute;JO DE JESUS,1167.964,18467,15.81,18774,96.8,0.573,20.1,100179351.8,90262127.3,6725,
Aldeias Altas,2100303,aldeias-altense,KEDSON ARAUJO LIMA,1943.413,23286,11.99,23782,94.9,0.513,10.47,187948833.5,183711785.46,9246.08,
Altamira do Maranh&atilde;o,2100402,altamirense,MARTON SANDS C&Acirc;MARA PAGE&Uacute;,524.374,6447,12.29,6565,91.5,0.549,-,56744110.26,54067751.04,8669.76,
Alto Alegre do Maranh&atilde;o,2100436,alto-alegrense,NILSILENE SANTANA RIBEIRO ALMEIDA,392.750,24048,61.23,24543,95.5,0.554,19.34,132656994.7,116930178.56,10801.55,
Alto Alegre do Pindar&eacute;,2100477,alto-alegrense,JOSE FRANCINETE BENTO LUNA,1875.580,25710,13.71,26411,96.7,0.558,24.23,190458817.25,192352209.76,7876.42,
Alto Parna&iacute;ba,2100501,alto-parnaibano,RUBENS SUSSUMU OGASAWARA,11127.384,11109,1.00,11382,95.1,0.633,11.11,70097746.58,59202359.05,51543.79,
Amap&aacute; do Maranh&atilde;o,2100550,amapaense,NELENE DA COSTA GOMES,493.738,7170,14.27,7364,98,0.520,9.8,72326770.11,66582623.37,9963.57,
