Mato Grosso | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Acorizal,5100102,acorizano,DIEGO EWERTON FIGUEIREDO TAQUES,850.763,5014,5.89,4990,96.6,0.628,-,51629091.39,44141152.48,20561.61,
&Aacute;gua Boa,5100201,&aacute;gua-boense,MARIANO KOLANKIEWICZ FILHO,7549.308,29219,3.87,31314,99.2,0.729,23.62,323442185.11,307561164.06,74990.39,
Alta Floresta,5100250,alta-florestense,VALDEMAR GAMBA,8955.410,58613,6.54,61291,98,0.714,9.04,363559678.83,348141639.54,40531.28,
Alto Araguaia,5100300,araguaiense,JACSON MARLON NIEDERMEIER,5317.513,17193,3.18,17657,96.7,0.704,-,184203522.26,173387706.41,59497.11,
Alto Boa Vista,5100359,alto boa vistense,JOS&Eacute; PEREIRA MARANH&Atilde;O,2248.414,5715,2.54,5875,96.8,0.651,18.18,69393442.1,70568876.93,37231.59,
Alto Gar&ccedil;as,5100409,alto-garcense,CEZALPINO MENDES TEIXEIRA JUNIOR,3857.559,13052,3.38,13707,98,0.701,5.65,107946869.73,111787278.46,97187.86,
Alto Paraguai,5100508,alto-paraguaiense,ADAIR JOSE ALVES MOREIRA,1847.354,8009,4.34,7717,95.4,0.638,23.81,65103554.12,61132459.94,14382.3,
Alto Taquari,5100607,taquariense,MARILDA GAROFOLO SPERANDIO,1521.377,10904,7.59,11571,98.3,0.705,-,148174641.88,138611137.42,113538.74,
Apiac&aacute;s,5100805,apiacaense,JULIO CESAR DOS SANTOS,20489.024,8590,0.42,8692,95,0.675,26.85,99122684.91,92575468.85,22418.58,
Araguaiana,5101001,araguaianense,JOSE MARRA NERY,6380.700,3795,0.59,3950,98.3,0.687,-,55077885.12,51400177.64,41316.47,
Araguainha,5101209,araguainhense,FRANCISCO GON&Ccedil;ALVES NAVES,675.231,1010,1.50,1006,98.1,0.701,-,34847930.94,36788967.57,30845.7,
Araputanga,5101258,araputanguense,ENILSON DE ARAUJO RIOS,1639.733,14786,9.02,14854,97.5,0.725,34.48,126766441.97,108452848.58,38361.43,
Aren&aacute;polis,5101308,arenapolitano,EDERSON FIGUEIREDO,417.337,10576,25.34,10747,98.4,0.704,6.13,76086729.07,73129959.69,24711.43,
Aripuan&atilde;,5101407,aripuanense,SELUIR PEIXER REGHIN,24678.135,24626,1.00,26010,92.7,0.675,-,229567618.16,219627083.83,62691.39,
Bar&atilde;o de Melga&ccedil;o,5101605,melgaciano,MARGARETH GON&Ccedil;ALVES DA SILVA,11374.872,7253,0.64,7204,86.3,0.600,-,56954942.3,50508658.36,15262.65,
Barra do Bugres,5101704,barrense,MARIA AZENILDA PEREIRA,5976.865,29403,4.92,29576,96.9,0.693,8.95,278444259.93,271051422.94,44018.43,
Barra do Gar&ccedil;as,5101803,barra-garcense,ADILSON GON&Ccedil;ALVES DE MACEDO,8362.915,69210,8.28,72694,96.3,0.748,25.57,451620909.83,435008700.08,41607.18,
Boa Esperan&ccedil;a do Norte,5101837,-,-,4704.488,-,-,-,-,-,-,-,-,-,
Bom Jesus do Araguaia,5101852,bom-jesuense,MARCILEI ALVES DE OLIVEIRA,4266.636,7280,1.71,7731,97.2,0.661,35.29,94588080.32,79756221.67,112613.63,
Brasnorte,5101902,brasnortense,EDELO MARCELO FERRARI,15968.355,17004,1.06,17496,96,0.696,9.46,165347348.22,150743248.96,101462.2,
C&aacute;ceres,5102504,cacerense,ANT&Ocirc;NIA ELIENE LIBERATO DIAS,24499.922,89681,3.66,91626,97.8,0.708,20.47,478013208.86,458793994.71,23753.91,
Campin&aacute;polis,5102603,campinapolense,JEOVAN FARIA,5978.985,15347,2.57,15713,81.9,0.538,41.41,126992758.31,121286777.35,26958.25,
Campo Novo do Parecis,5102637,campo-novense,EDILSON ANTONIO PIAIA,9428.585,45899,4.87,50033,97.8,0.734,10.56,429980438.18,421396706.86,187188.91,
Campo Verde,5102678,campo-verdense,ALEXANDRE LOPES DE OLIVEIRA,4771.091,44585,9.35,47831,98.1,0.750,9.46,465025964.15,427050575.75,113394.08,
Campos de J&uacute;lio,5102686,campo juliense,IRINEU MARCOS PARMEGGIANI,6792.808,8822,1.30,9608,97.9,0.744,20.41,141523664.45,118609502.18,455838.1,
Canabrava do Norte,5102694,canabravense,NEUILSON DA SILVA LIMA,3449.037,4485,1.30,4480,98.1,0.667,-,71978667.91,69590420.54,56716.7,
Canarana,5102702,canaranense,VILSON BIGUELINI,10855.181,25858,2.38,27657,94.3,0.693,20.62,266655068.19,270545290.49,132641.17,
Carlinda,5102793,carlindense,FERNANDO DE OLIVEIRA RIBEIRO,2421.788,10332,4.27,10324,98.7,0.665,36.76,80843086.83,74719198.47,29658.71,
Castanheira,5102850,castanheirense,JAKSON DE OLIVEIRA RIOS JUNIOR,3713.466,7506,2.02,7459,96.8,0.665,-,62862896.34,57691019.8,24494.82,
Chapada dos Guimar&atilde;es,5103007,chapadense,OSMAR FRONER DE MELLO,6603.252,18990,2.88,19374,95.7,0.688,8.7,225472208.46,206855863.19,53931.12,
Cl&aacute;udia,5103056,claudiense,MARCOS FERNANDO FELDHAUS,3843.561,9593,2.50,9436,97.5,0.699,6.1,126638928.42,98422692.59,86593.96,
Cocalinho,5103106,cocalinhense,M&Aacute;RCIO CONCEI&Ccedil;&Atilde;O NUNES DE AGUIAR,16563.136,6220,0.38,6428,90.4,0.660,14.29,80616705.76,74350170.35,52079.24,
Col&iacute;der,5103205,colidense,RODRIGO LUIZ BENASSI,3112.091,31370,10.08,32010,97.2,0.713,22.09,192933435.6,177122790.24,37495.61,
Colniza,5103254,colnizense,MILTON DE SOUZA AMORIM,27960.237,25766,0.92,26090,95.4,0.611,14.74,178044800.98,166936377.36,20651.18,
Comodoro,5103304,comodorense,ROGERIO VILELA VICTOR DE OLIVEIRA,21485.018,18238,0.85,18461,96.1,0.689,36.91,182291813.98,152081438.97,59213.23,
Confresa,5103353,confresense,RICARDO ALOISIO BABINSKI,5802.303,35075,6.05,37541,97.2,0.668,15.09,213446449.17,195365630.71,47721.27,
Conquista D'Oeste,5103361,conquistense d&rsquo;oeste,ODAIR JOSE VARGAS,2684.676,3760,1.40,3874,98.6,0.718,17.86,62200120.16,51702257.95,34399.39,
Cotrigua&ccedil;u,5103379,cotrigua&ccedil;uenses,MOISES FERREIRA DE JESUS,9469.957,11011,1.16,10398,87.9,0.601,11.11,90384001.28,81244755.5,15773.04,
Cuiab&aacute;,5103403,cuiabano (papa peixe),ABILIO JACQUES BRUNINI MOUMER,4327.220,650877,150.41,682932,95.8,0.785,11.69,4316217010.24,4306949073.62,47700.88,
Curvel&acirc;ndia,5103437,curvelandenses,JADILSON ALVES DE SOUZA,357.212,4903,13.73,4967,99.7,0.690,16.95,46623518.51,37717390.09,23513.3,
Denise,5103452,denisiense,ALDECIR DE SOUSA OLIVEIRA,1273.178,7014,5.51,6815,97.6,0.683,-,64463777.54,54485920.04,55018.49,
Diamantino,5103502,diamantinense,FRANCISCO FERREIRA MENDES JUNIOR,8263.397,21941,2.66,22479,98.1,0.718,18.47,237171711.03,227761398.1,257582.45,
Dom Aquino,5103601,dom-aquinense,CARLOS ALBERTO DA COSTA,2183.603,7872,3.61,7915,99.2,0.690,-,74874404.94,69857545.16,83260.65,
