Santa Catarina | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Abdon Batista,4200051,abdonense,LUCIMAR ANTONIO SALMORIA,237.517,2598,10.94,2633,100,0.694,33.33,48387430.76,39500560.8,29646.51,
Abelardo Luz,4200101,abelardense,NERCI SANTIN,953.992,17392,18.23,17736,97.1,0.696,23.17,151291144.53,141286192.81,43621.44,
Agrol&acirc;ndia,4200200,agrolandense,GIANFRANCO CHRISTIANO MOHR,206.815,10990,53.14,11491,97,0.725,-,81574553.17,74828047.78,35492.31,
Agron&ocirc;mica,4200309,agronomense,VOLNEI RODRIGUES,129.774,6055,46.66,6394,94.4,0.741,-,52327681.35,47150921.13,41807.92,
&Aacute;gua Doce,4200408,&aacute;gua-docense,GIOVANI LUIZ BRANDALISE,1327.911,6508,4.93,6625,97.9,0.698,23.26,96999971.85,84268447.04,90930.69,
&Aacute;guas de Chapec&oacute;,4200507,aguense,OSCAR BARELA,139.511,6036,43.27,6128,99.3,0.713,14.29,48598366.15,42487013.12,21040.34,
&Aacute;guas Frias,4200556,&aacute;guasfriense,WESLEY TERRIBILE,76.631,2839,37.05,2963,100,0.745,-,41508838.86,37708388.32,69655.52,
&Aacute;guas Mornas,4200606,&aacute;guas-mornense,PEDRO FRANCISCO GARCIA,326.660,6743,20.64,7082,98.7,0.723,-,55351396.33,52015352.71,30026.7,
Alfredo Wagner,4200705,alfredense,GILMAR SANI,733.489,10481,14.29,10862,92.8,0.668,10.99,57693608.95,53815599.9,33191.8,
Alto Bela Vista,4200754,bela-vistense,ADIR FLAVIO SVIDERSKEI,103.433,1856,17.94,1860,98.7,0.755,-,38820916.3,46756998.41,41248.18,
Anchieta,4200804,anchietense,MOACIR PEDRO PIOVEZANI,232.348,5943,25.58,5984,99.8,0.699,-,49890552.55,47202310.85,37207.3,
Angelina,4200903,angelinense,ELISEU JOSE COELHO,499.998,5358,10.72,5472,99.3,0.687,22.22,50507192.45,45411810.94,37247.98,
Anita Garibaldi,4201000,anita-garibaldense,HENRIQUE MENEGAZZO,589.812,8285,14.05,8367,96.1,0.688,-,63445203.23,55598608.54,34127.28,
Anit&aacute;polis,4201109,anitapolitano,SOLANGE BACK,540.636,3593,6.65,3726,98.5,0.674,-,41705535.41,35386927.29,26235.15,
Ant&ocirc;nio Carlos,4201208,ant&ocirc;nio-carlense,ON&Eacute;LIO RICHARTZ,234.422,11224,47.88,12118,96.5,0.749,23.44,97165335.75,89001967.53,91422.34,
Api&uacute;na,4201257,apiunense,MARCELO DOUTEL DA SILVA,493.490,9811,19.88,10020,97.8,0.708,7.14,91433005.89,78418287.67,40398.52,
Arabut&atilde;,4201273,arabutanense,OLGUIN RICARDO METZ,132.585,4378,32.97,4487,99.6,0.733,23.81,63447080.28,54457767.63,66635.06,
Araquari,4201307,araquariense,LUDGERO JASPER JUNIOR,386.693,45283,117.10,50178,96,0.703,5.07,475175645.27,410071390.71,183116.55,
Ararangu&aacute;,4201406,araranguaense,C&Eacute;SAR ANTONIO CESA,301.806,71922,238.30,75597,98.4,0.760,13.56,359577805.82,357952618.84,34317.67,
Armaz&eacute;m,4201505,armazenense,LUIZ PAULO RODRIGUES MENDES,173.958,8834,50.78,9188,98.4,0.770,8.55,65096408.81,62492683.04,30763.41,
Arroio Trinta,4201604,arroio-trintense,ANTONIO SERIGHELLI,93.530,3556,38.02,3628,99.3,0.764,25,50047743.21,42522439.59,35505.67,
Arvoredo,4201653,arvoredense,AGENOR JOSE ZANCO,90.503,2510,27.73,2600,97.6,0.715,-,41328738.03,35373508.35,91500.25,
Ascurra,4201703,ascurrense,ARAO JOSINO DA SILVA,112.884,8319,73.70,8635,98,0.742,9.71,55722362.64,49177149.52,30537.45,
Atalanta,4201802,atalantense,CLAUDIO VOLNEI SENS,94.383,3227,34.19,3270,98.9,0.733,19.61,38014379.06,32198216.32,39623.72,
Aurora,4201901,aurorense,VANDERLEI ZANDONAI,207.045,6780,32.75,7127,99.3,0.733,9.62,63661337.15,60349146.03,71547.9,
Balne&aacute;rio Arroio do Silva,4201950,arroio-silvense,EVANDRO SCAINI,94.315,15820,167.45,17215,98.1,0.746,18.29,99592483.09,91392146.34,16094.47,
Balne&aacute;rio Cambori&uacute;,4202008,balneocamboriuense,JULIANA PAVAN VON BORSTEL,45.214,139155,3077.70,148758,98.3,0.845,7.86,1865980258.16,1820267490.61,49301.41,
Balne&aacute;rio Barra do Sul,4202057,barrassulense,ADEMAR HENRIQUE BORGES,108.914,14912,136.92,16360,98.7,0.716,5.92,115513785.19,114382103.7,22583.61,
Balne&aacute;rio Gaivota,4202073,gaivotense,EVERALDO DOS SANTOS,146.834,15669,106.71,17306,98.7,0.728,4.9,108491983.14,102502247.53,18802.13,
Bandeirante,4202081,bandeirantense,EDER LUIZ MARCON,148.074,3144,21.23,3243,99.3,0.672,47.62,40585323.16,33634389.38,39039.04,
Barra Bonita,4202099,barrabonitense,AGNALDO DERESZ,92.934,1668,18.02,1662,96.5,0.701,-,34827457.78,29384264.25,32170.94,
Barra Velha,4202107,barra-velhense,DANIEL PONTES DA CUNHA,138.947,45369,326.52,50730,96.8,0.738,15.44,341762252.72,283827884.67,77674.67,
Bela Vista do Toldo,4202131,bela vistense,FRANCISCO CARLOS SCHIESSL,535.682,5872,10.96,5950,98.9,0.675,19.23,51223173.18,41583978.29,30823.44,
Belmonte,4202156,belmontense,JAIR ANTONIO GIUMBELLI,93.852,2658,28.32,2709,100,0.705,-,38759961.06,34401851.44,21255.57,
Benedito Novo,4202206,benedito-novense,JEAN MICHEL GRUNDMANN,388.291,10520,27.09,10738,98.2,0.740,8.4,77037230.31,66150672.57,39514.66,
Bigua&ccedil;u,4202305,bigua&ccedil;uense,SALMIR DA SILVA,365.755,76773,209.90,82028,96.9,0.739,5.77,465085994.24,419445526.88,37884.91,
Blumenau,4202404,blumenauense,EGIDIO MACIEL FERRARI,518.635,361261,696.58,380597,97,0.806,10.16,3007233595.32,3013593288.02,56155.65,
Bocaina do Sul,4202438,bocainense,JO&Atilde;O EDUARDO DELLA JUSTINA,510.673,3515,6.88,3618,96.8,0.647,18.18,42215425.69,35405840.65,38814.82,
Bombinhas,4202453,bombinense,ALEXANDRE DA SILVA,35.143,25058,713.03,27732,99,0.781,17.49,327554305.07,294745412.51,41998.46,
Bom Jardim da Serra,4202503,bom-jardinense,PEDRO LUIZ OSTETTO,938.516,4026,4.29,4028,97.9,0.696,-,49844028.84,44444310.83,77409.04,
Bom Jesus,4202537,bonjesuense,VILMAR PECCINI,63.883,2777,43.47,2872,97.9,0.718,-,36844944.96,34794391.32,51609.65,
Bom Jesus do Oeste,4202578,bonjesuense,MARCIO JOSE STORCK,67.777,2187,32.27,2234,100,0.712,-,40584176.86,28421708.52,34501.29,
Bom Retiro,4202602,bom-retirense,HELENA SCHILD DE OLIVEIRA,1057.034,8418,7.96,8468,96.3,0.699,25,57486401.24,50792289.75,41595.46,
Botuver&aacute;,4202701,botuveraense,VICTOR JOSE WIETCOWSKY,296.256,5363,18.10,5623,99,0.724,-,59198646.94,51867162.81,79794.37,
Bra&ccedil;o do Norte,4202800,bra&ccedil;o-nortense,LAURO BOEING JUNIOR,212.045,33773,159.27,35534,98.9,0.778,19.4,205846611.36,191902375.26,50875.18,
Bra&ccedil;o do Trombudo,4202859,bra&ccedil;o trombudense,ADRIANO TREINATTI,89.411,4026,45.03,4203,99,0.780,-,51865176.56,43074831.41,65924.69,
Brun&oacute;polis,4202875,brunopolitense,TANIA CONCEI&Ccedil;&Atilde;O BORTOLINI,336.439,2489,7.40,2466,98.7,0.661,-,43954544.69,42140531.87,59513.45,
Brusque,4202909,brusquense,ANDRE VECHI,284.675,141385,496.65,151949,98,0.795,5.8,1030392568.85,896751566.11,62044.42,
Ca&ccedil;ador,4203006,ca&ccedil;adorense,ALENCAR MENDES,983.424,73720,74.96,75998,96,0.735,6.32,468512566.87,438167237.49,58773.87,
Caibi,4203105,caibiense,EDER PICOLI,173.079,6304,36.42,6431,98.7,0.728,-,58185273.93,49645465.35,51823.35,
Calmon,4203154,calmonense,HELIO MARCELO OLENKA,636.208,3443,5.41,3513,95.6,0.622,18.18,41792485.41,38375026.11,29378.94,
Cambori&uacute;,4203204,camboriuense,LEONEL ARCANGELO PAVAN,210.568,103074,489.50,113525,96.6,0.726,5.45,546837231.14,499959516.64,25718.35,
Cap&atilde;o Alto,4203253,cap&atilde;o altense,SADIANA ARRUDA MELO COELHO LOPES,1331.962,2625,1.97,2647,99.3,0.654,-,46553089.11,39960666.25,95262.07,
Campo Alegre,4203303,campo-alegrense,RUBENS BLASZKOWSKI,500.173,12501,25.04,12815,98.6,0.714,35.21,134865423.16,127853614.28,58375.96,
Campo Belo do Sul,4203402,campo-belense,C&Eacute;LIO PEREIRA,1025.638,7257,7.08,7342,95.7,0.641,-,52905808.9,43898894.04,48338.42,
Campo Er&ecirc;,4203501,campo-erense,ROZANE BORTONCELLO MOREIRA,479.161,9623,20.08,9838,98.7,0.690,18.29,75110995.27,67452989.04,52668.42,
Campos Novos,4203600,campos-novense,DIRCEU JOS&Eacute; KAIPER,1717.579,36932,21.50,38656,97.3,0.742,3.95,328455832.72,276804851.95,70809.55,
Canelinha,4203709,canelense,DIOGO FRANCISCO ALVES MACIEL,150.904,12821,84.90,13413,98.5,0.697,-,103645540.27,92620543.29,23547.81,
