Sergipe | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Amparo do S&atilde;o Francisco,2800100,amparense,MARCOS SANDES,35.683,2170,60.81,2206,97.4,0.611,-,35450487.96,33003479.52,15912.33,
Aquidab&atilde;,2800209,aquidab&atilde;ense,ANA HELENA CARVALHO FONTES,359.543,20131,55.99,20542,98.6,0.578,16.26,109278851.33,104059146.73,13207.67,
Aracaju,2800308,aracajuano,EM&Iacute;LIA CORR&Ecirc;A SANTOS BEZERRA,182.163,602757,3308.89,628849,97.4,0.770,17.37,3999535314.19,3709140661.38,27364.4,
Arau&aacute;,2800407,arauaense,FABIO MANOEL ANDRADE COSTA,198.967,10318,51.86,10483,98.3,0.595,15.5,75575506.09,66090974.33,14240.03,
Areia Branca,2800506,areia-branquense,TALYSSON BARBOSA COSTA,148.135,18081,122.06,18560,98,0.579,29.17,120917657.2,111920754.1,13400.43,
Barra dos Coqueiros,2800605,barra-coqueirense,AIRTON SAMPAIO MARTINS,92.268,41511,449.90,44384,91.7,0.649,15.33,341303355.85,302657985.54,82114.31,
Boquim,2800670,boquinense,JACKSON COSTA SANTOS,205.443,24636,119.92,25038,97.6,0.604,11.63,121531892.39,101877806.88,12345.44,
Brejo Grande,2800704,brejo-grandense,LUIZ CARLOS FERREIRA,141.464,7841,55.43,8016,98.5,0.540,25.42,60918585.09,60470525.77,11420.45,
Campo do Brito,2801009,campo-britense,MANOEL MEDICI DE SOUSA,201.518,18149,90.06,18646,98.2,0.621,14.35,96155394.43,90117606.73,12970.1,
Canhoba,2801108,canhobense,CHRYSTOPHE FERREIRA DIVINO,171.581,3791,22.09,3855,98.1,0.569,30.3,43364439.82,38986284.97,21093.28,
Canind&eacute; de S&atilde;o Francisco,2801207,canindense,JOSE MACHADO FEITOSA NETO,1080.009,26834,28.73,33491,96.8,0.567,20.37,273271240.39,241235524.52,93714.69,
Capela,2801306,capelense,CARLOS MILTON MENDONCA TOURINHO JUNIOR,442.210,31645,71.56,32716,96.3,0.615,26.32,218786938.1,210801810.04,11069.02,
Carira,2801405,carirense,DIOGO MENEZES MACHADO,638.875,19939,31.22,20315,98.2,0.588,25.36,123807294.82,107740036.45,16961.45,
Carm&oacute;polis,2801504,carmopolense,WELBER ANDRADE LEITE,46.395,13853,298.59,14179,97.3,0.643,26.6,134767816.38,109904349.6,24524.19,
Cedro de S&atilde;o Jo&atilde;o,2801603,cedrense,NEUDO ALVES,83.710,5391,64.40,5482,99.1,0.623,16.95,46057920.41,43444077.67,10843.89,
Cristin&aacute;polis,2801702,cristinapolense,SANDRO DE JESUS DOS SANTOS,228.556,17100,74.82,17539,97.5,0.553,21.37,121091582.73,140439135.7,13793.37,
Cumbe,2801900,cumbense,ERIVALDO BARROSO LIMA,128.393,3824,29.78,3906,99,0.604,-,38320450.82,30851482.8,17337.61,
Divina Pastora,2802007,divina-pastorense,IZABEL CRISTINA  GOMES RODRIGUES VIEIRA,90.508,4340,47.95,4433,98.2,0.610,32.26,58048974.42,52586317.44,35655.8,
Est&acirc;ncia,2802106,estanciano,ANDR&Eacute; GRA&Ccedil;A SANTOS,647.344,65078,100.53,66978,98.6,0.647,17.58,404163429.66,317212607.24,30414.67,
Feira Nova,2802205,feira-novense,JEAN SIMON SANTOS ARCIERI,185.219,5975,32.60,6207,96.7,0.584,44.94,46202089.73,43879786.71,20459.03,
Frei Paulo,2802304,frei-paulense,DOUGLAS RAFAEL SANTOS DA COSTA,399.178,14530,36.40,14884,96.9,0.589,22.73,91908930.21,83271666.5,20699.94,
Gararu,2802403,gararuense,GILZETE DIONIZA DE MATOS,661.622,11096,16.89,11301,95.6,0.564,15.5,75560665.68,64617642.2,15476.38,
General Maynard,2802502,mainardense,MARCONES MELO DE SOUZA SANTOS,19.793,3037,153.44,3111,97.7,0.645,27.03,43998975.83,38192038.16,12724.95,
Graccho Cardoso,2802601,gracho-cardosense,JOS&Eacute; NICARCIO DE ARAG&Atilde;O,243.803,5834,24.04,5979,96,0.577,12.99,44933659.36,39188690.01,17318.21,
Ilha das Flores,2802700,ilha-florense,ROBSON MARTINS DE LIMA,52.693,8321,157.91,8495,97.9,0.562,44.12,70444218.71,67924367.51,11947.29,
Indiaroba,2802809,indiarobense,MARCOS HENRIQUE RAMOS DE LIMA,316.316,16549,52.32,16949,98.3,0.580,9.17,115674569.04,106162312.81,12524.93,
Itabaiana,2802908,itabaianense,VALMIR DOS SANTOS COSTA,337.348,103440,306.68,108408,96.4,0.642,11.82,494448812.43,411591790.37,22855.2,
Itabaianinha,2803005,itabaianinhense,ERALDO MOREIRA DOS SANTOS,501.794,40678,81.07,42114,98,0.556,24.14,230176399.59,192000732.89,12637.01,
Itabi,2803104,itabiense,GABRIELLA DE S&Aacute; SOUZA BATALHA,183.422,4745,25.87,4823,96.2,0.602,21.74,40463373.08,33590597.48,16662.02,
