Bahia | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Abaíra,2900108,abairense,WELLINGTON BARBOSA SILVA,538.677,7301,13.55,7452,97.2,0.603,18.18,41373114.77,36196946.7,8086.04,
Abaré,2900207,abareense,EMANOEL MESCIAS MENEZES DE ANDRADE,1604.923,17639,10.99,18240,96.5,0.575,13.51,104917117.66,97662747.33,10127.1,
Acajutiba,2900306,acajutibense,JADIEL SOUZA JESUS,181.475,13795,76.02,14215,98,0.582,26.85,116120415.93,114159475.08,9499.76,
Adustina,2900355,adustinense,JOTA JUNIOR GONÇALVES,629.100,14201,22.57,14554,98.1,0.546,-,114022406.45,98603379.16,13986.28,
Água Fria,2900405,água-friense,RENAN ARAUJO BARROS,742.775,14497,19.52,14871,97,0.550,12.82,73397340.01,93720377.69,9269.33,
Érico Cardoso,2900504,érico-cardosense,ERALDO FÉLIX DA SILVA,735.249,10604,14.42,10948,98.8,0.584,21.51,53133336.7,50328616.35,7425.41,
Aiquara,2900603,aiquarense,VALERIA RIBEIRO SANTOS,167.877,4447,26.49,4586,98.4,0.583,63.83,43423326.13,43664143.98,12244.83,
Alagoinhas,2900702,alagoinhense,GUSTAVO AUGUSTO DE SOUZA CARMO,707.836,151055,213.40,160662,97.4,0.683,17.45,840580156.89,782264334.42,29621.32,
Alcobaça,2900801,alcobacense,GIVALDO MUNIZ,1477.929,24530,16.60,25494,96.5,0.608,28.17,162922726.47,153253002.14,15437.27,
Almadina,2900900,almadinense,MARCOS MARCIEL PINHEIRO DE JESUS,245.236,5218,21.28,5327,95.3,0.563,26.32,38709865.66,34875307.47,11924.08,
Amargosa,2901007,amargosense,GETÚLIO ALMEIDA SAMPAIO,431.655,36521,84.61,38478,96.8,0.625,22.61,208610818.99,192302445.1,12327.08,
Amélia Rodrigues,2901106,ameliense,JOÃO MANOEL BAHIA MENEZES,166.872,24138,144.65,24848,99.2,0.666,25.25,133823305.36,113394712.8,17505.45,
América Dourada,2901155,américo-douradense,JOELSON CARDOSO DO ROSARIO,822.373,15137,18.41,15583,96.6,0.561,21.62,98769492.68,88759450.11,10440.54,
Anagé,2901205,anageense,ROGERIO BONFIM SOARES,1899.683,25438,13.39,26715,96,0.540,11.24,108384047.92,97712828.03,10592.91,
Andaraí,2901304,andaraiense,WILSON PAES CARDOSO,1589.786,13080,8.22,13531,97.8,0.555,12.9,90351630.52,86737834,10254.35,
Andorinha,2901353,andorinhense,ADILBERTO EVANGELISTA DE SOUZA,1362.386,15012,11.02,15485,98,0.588,-,121609153.71,116922977.88,15500.25,
Angical,2901403,angicalense,MONICA MARIA RODRIGUES DAS CHAGAS DIAS,1530.645,13732,8.97,14178,96.9,0.625,5.99,79757919.9,72441033.86,13699.3,
Anguera,2901502,anguerense,MAURO SELMO OLIVEIRA VIEIRA,187.840,11031,58.73,11456,98.2,0.589,-,91424421.98,86303087.26,6927.47,
Antas,2901601,antense,ESSIONEIDE PIMENTEL DA SILVA MATOS,326.360,14206,44.43,15061,94.3,0.592,30.12,107837683.79,99940873.81,8179.38,
Antônio Cardoso,2901700,cardosense,JOCIVALDO BISPO DA CONCEIÇÃO DOS ANJOS,293.530,11146,37.97,11501,95.8,0.561,8.26,63958372.13,59977341.74,10644.2,
Antônio Gonçalves,2901809,antônio-gonçalvense,DJALMA DE FREITAS CARDOSO NETO,345.284,10862,31.46,11236,98.4,0.598,8.93,60949081.57,53828781.31,6917.74,
Aporá,2901908,aporense,CARINE DANTAS DE MENEZES,479.262,15922,33.22,16379,97.6,0.548,6.8,79635652.5,77698758,8332.08,
Apuarema,2901957,apuaremense,ROBERTO SANTOS AMORIM,150.830,6913,45.83,7114,95.9,0.552,-,74126840.5,70182906.18,10214.51,
Aracatu,2902005,aracatuense,BRAULINA LIMA SILVA,1489.803,13936,9.35,14422,97.7,0.581,5.68,86290714.7,73726411.82,11245.32,
Araçás,2902054,araçaense,AGAMENON OLIVEIRA COELHO,474.577,11557,24.35,11946,98.1,0.570,23.44,92796266.13,87628689.61,24447.56,
Araci,2902104,araciense,MARIA BETIVANIA LIMA DA SILVA,1496.245,48294,32.28,50336,97.4,0.534,13.38,327597263.2,365456968.39,8950.31,
Aramari,2902203,aramariense,ANTONIO LUIZ CARDOSO DANTAS,368.947,9833,26.65,10122,96.3,0.588,9.52,76965845.02,72375379.01,9008.7,
Arataca,2902252,arataquense,FERNANDO MANSUR GONZAGA,435.962,10191,23.38,10463,95.6,0.559,12.2,80818636.59,77841795.04,9308.59,
Aratuípe,2902302,aratuipense,ANTONIO MARCOS ARAUJO DE SOUZA,174.012,8677,49.86,8981,98.4,0.575,22.47,51079839.25,46583834.89,9038.92,
Aurelino Leal,2902401,aurelinense,RODRIGO CALAZANS DE ANDRADE,445.394,11179,25.10,11409,95.5,0.568,19.87,87790113.64,80111887.03,12365.87,
Baianópolis,2902500,baianopolense,WEUBE FEBRONIO DOS SANTOS,3321.755,13614,4.10,14110,98.7,0.589,18.29,95170786.37,83259813.4,18872.77,
Baixa Grande,2902609,baixa-grandense,ADROALDO DOS SANTOS RIBEIRO,967.514,18220,18.83,18680,97.2,0.585,-,96328915.55,88308322.76,9527.52,
Banzaê,2902658,banzaêense,PATRÍCIA NASCIMENTO ALMEIDA,409.507,11958,29.20,12309,98.1,0.579,7.75,104940842.89,103176479.64,8572.74,
Barra,2902708,barrense,ROMEU BATISTA PINTO JUNIOR,11428.112,51092,4.47,53528,97,0.557,14.53,190704876.3,31669403.96,7941.89,
Barra da Estiva,2902807,barrestivense,UILSON ROBSON SILVA ALVES,1657.413,26026,15.70,27582,96.8,0.575,13.3,113008010.35,110510866.77,18698.56,
Barra do Choça,2902906,barra-chocense,OBERDAM ROCHA DIAS,765.936,36539,47.71,38481,96.9,0.551,13.54,193412223.13,179854196.8,18602.26,
Barra do Mendes,2903003,barra-mendense,MANOEL GABRIEL DOS SANTOS,1436.299,13836,9.63,14345,97.5,0.630,17.34,75462934.26,70994306.02,8829.23,
Barra do Rocha,2903102,barra-rochense,JOSE LUIZ FRANCO RAMOS COSTA,214.411,5775,26.93,5920,95.7,0.577,35.09,56439130.18,54090006.15,14125.28,
Barreiras,2903201,barreirense,OTONIEL NASCIMENTO TEIXEIRA,8059.305,159734,19.84,170667,97.5,0.721,9.77,1016170714.21,928154402.75,44221.63,
Barro Alto,2903235,barro-altino,EVILAZIO JOAQUIM DE OLIVEIRA,414.510,13453,32.46,13911,98.4,0.607,16.26,64282569.7,62540610.4,7440.78,
Barrocas,2903276,barroquense,JOSE ALMIR ARAUJO QUEIROZ,207.297,15203,73.34,15743,98.7,0.610,9.52,116546752.18,130586161.26,21334.14,
Barro Preto,2903300,barro-pretense,JURACI DIAS DE JESUS,201.585,5833,28.94,5966,96.2,0.602,18.87,53993080.82,50758400.62,15044.1,
Belmonte,2903409,belmontense,IEDO JOSE MENEZES ELIAS,1920.642,20121,10.37,20567,96.5,0.598,12.55,115467649.08,105055993.69,15875.7,
Belo Campo,2903508,belo-campense,FIDELIS PEREIRA REIS,772.756,18412,23.83,19042,95.2,0.575,38.46,118948903.74,115830062.87,9968.92,
Biritinga,2903607,biritinguense,GILMÁRIO SOUZA DE OLIVEIRA,553.762,15146,27.35,15606,98,0.538,23.12,118460400.7,115390105.77,9096.16,
Boa Nova,2903706,boa-novense,LUCAS SANTOS MEIRA,848.857,13690,16.13,14052,97.2,0.567,21.9,64676862.84,57878621.13,9270.48,
Boa Vista do Tupim,2903805,tupinense,SAVIO BULCAO DOS SANTOS,2972.109,16873,5.68,17307,96.8,0.551,5.59,100663953.08,90022606.84,8399.59,
Bom Jesus da Lapa,2903904,lapense,EURES RIBEIRO PEREIRA,4114.491,65550,15.93,68704,95.7,0.633,17.32,368097258.87,359889029.42,19356.52,
Bom Jesus da Serra,2903953,bom-jesuense,WELTON SILVA ANDRADE,467.909,9730,20.79,10028,98.3,0.546,-,55731633.76,48849168.81,7162.09,
Boninal,2904001,boninalense,CELESTE AUGUSTA ARAUJO PAIVA,896.857,13622,15.19,14104,96.3,0.612,19.61,80005633.64,71792846.54,8127.31,
Bonito,2904050,bonitense,EDIVAM JOSE CEDRO DE SOUZA,791.276,15844,20.02,16393,97.6,0.561,15.08,124366729.97,103933360.15,15926.9,
Boquira,2904100,boquirense,ALAN MACHADO FRANÇA,1426.233,19322,13.55,19829,98.8,0.603,29.54,103751417.42,101721947.72,8800.66,
Botuporã,2904209,botuporãense,EDIMILSON ANTONIO SARAIVA,627.612,11024,17.56,11411,98.1,0.575,-,73231854.05,71541810.27,10949.08,
Brejões,2904308,brejoense,RICARDO CASTRO CERQUEIRA,518.566,12943,24.96,13272,97.9,0.597,22.06,81905063.56,77851224.25,10196.49,
Brejolândia,2904407,brejolandense,EDEZIO NUNES BASTOS,2247.208,9108,4.05,9377,98.4,0.592,12.5,54608055.49,48415039.29,11827.72,
Brotas de Macaúbas,2904506,brotense,ANTONIO KLEBER RIBEIRO,2520.817,11765,4.67,12169,97.6,0.570,38.22,76992737.61,68165346.65,9019.03,
Brumado,2904605,brumadense,FABRICIO ABRANTES PIRES DE SOUZA OLIVEIRA,2207.612,70510,31.94,74095,96.8,0.656,17.16,383365019.13,331698167.47,26432.55,
Buerarema,2904704,bueraremense,GERIVALDO SOUZA FREITAS,219.487,14804,67.45,15056,91.5,0.613,48.39,85241405.32,79960963.16,11436.46,
Buritirama,2904753,buritiramense,LÉO MIRANDA SÃO MATEUS,4046.736,19589,4.84,20212,97.3,0.565,32.52,117642449.42,103407330.2,7251.29,
Caatiba,2904803,caatibense,HUMBERTO DE ALMEIDA ANTUNES,512.436,6205,12.11,6224,89.9,0.561,-,42760943.36,42147617.39,12419.86,
Cabaceiras do Paraguaçu,2904852,cabaceirense,PEDRO ANDRÉ BRAZ SILVA SANTANA,222.027,16559,74.58,17039,98.8,0.581,29.54,116516940.76,110040779.28,7427.62,
Cachoeira,2904902,cachoeirano,ELIANA GONZAGA DE JESUS,394.894,29250,74.07,30550,97.8,0.647,19.35,132194040.28,0.01,14239.25,
Caculé,2905008,caculense,PEDRO DIAS DA SILVA,610.983,22462,36.76,23246,97.3,0.637,15.27,124155560.53,119488509.41,15563.12,
Caém,2905107,caenense,ARNALDO DE OLIVEIRA FILHO,540.908,10384,19.20,10729,98.8,0.546,9.43,75938776.97,71293401.15,10356.18,
Caetanos,2905156,caetanense,EDAS JUSTINO DOS SANTOS,767.146,11266,14.69,11500,96.9,0.542,7.69,72629038.72,68627196,6991.41,
Caetité,2905206,caetiteense,VALTÉCIO NEVES AGUIAR,2651.536,52012,19.62,54572,98.3,0.625,14.45,215422456.1,207378662.28,21464.71,
Cafarnaum,2905305,cafarnauense,CARLAN NOVAIS SENA XAVIER,643.660,17466,27.14,18039,98.6,0.584,13.51,117849948.28,106837295.55,11697.42,
Cairu,2905404,cairuense,HILDÉCIO ANTÔNIO MEIRELES FILHO,448.846,17761,39.57,18486,98.8,0.627,7.49,181231806.85,164306183.6,80656.9,
Caldeirão Grande,2905503,caldeirão-grandense,PEDRO HENRIQUE ARAUJO BEZERRA,458.312,13080,28.54,13566,97.8,0.573,25.81,90324372.76,89187037.22,7581.19,
Camacan,2905602,camacaense,PAULO CESAR BOMFIM DE OLIVEIRA,584.848,22579,38.61,22756,92.5,0.581,27.97,130449684.43,125178547.41,11067.74,
