Mato Grosso do Sul | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Água Clara,5000203,água-clarense,GEROLINA DA SILVA ALVES,7781.558,16741,2.15,17647,96.6,0.670,7.14,253967605.9,217834646.5,77081.38,
Alcinópolis,5000252,alcinopolense,WELITON DA SILVA GUIMARAES,4397.518,4537,1.03,4648,98,0.711,-,96575740.92,99462475.16,43312.1,
Amambai,5000609,amambaiense,SERGIO DIOZEBIO BARBOSA,4193.742,39325,9.38,41414,93.2,0.673,20.86,286019943.99,298593995.12,43884.18,
Anastácio,5000708,anastaciano,MANOEL APARECIDO DA SILVA,2913.108,24114,8.28,24741,98.4,0.663,18.66,156761310.07,156254264.08,27508.95,
Anaurilândia,5000807,anaurilandense,RAFAEL GUSMAO HAMAMOTO,3415.657,7653,2.24,7735,98.9,0.670,12.82,84341264.73,89062765.43,45726.31,
Angélica,5000856,angeliquense,EDISON CASSUCI FERREIRA,1283.629,10729,8.36,11203,98.2,0.697,24.69,88888357.09,79184102.13,106924.28,
Antônio João,5000906,antônio-joanense,AGNALDO MARCELO DA SILVA OLIVEIRA,1095.900,9303,8.14,9641,96.9,0.643,18.87,100873030.31,86436654.99,80098.54,
Aparecida do Taboado,5001003,aparecidense,JOSÉ NATAN DE PAULA DIAS,2751.485,27674,10.06,29446,97.5,0.697,14.6,252443183.19,248624082.79,52822.84,
Aquidauana,5001102,aquidauanense,MAURO LUIZ BATISTA,17087.976,46803,2.74,48561,97.6,0.688,15.94,349051563.26,336004503.82,25007.82,
Aral Moreira,5001243,aral-moreirense,ELAINE APARECIDA SOLIGO,1653.860,10748,6.50,11085,90.7,0.633,11.17,104663960.01,112323998.63,81659.48,
Bandeirantes,5001508,bandeirantense,ÁLVARO NACKLE URT,3363.487,7940,2.36,8276,97.6,0.681,-,97332481.71,88951754.9,104256.82,
Bataguassu,5001904,bataguassuense,WANDERLEIA DUARTE CARAVINA,2392.476,23031,9.63,24004,97.9,0.710,-,172262905.4,168239543.3,44412.79,
Batayporã,5002001,bataiporanense,GERMINO DA ROZ SILVA,1826.578,10712,5.86,10953,97,0.684,8.2,93876409.36,82529479.12,53061.87,
Bela Vista,5002100,bela-vistense,GERARDO GABRIEL NUNES BOCCIA,4956.473,21613,4.41,21965,96,0.698,6.74,183205513.27,182937484.52,39325.43,
Bodoquena,5002159,bodoquenense,MARIA GIRLEIDE ROVARI,2589.140,8567,3.31,8849,99.2,0.666,40.4,104344187.36,95806186.1,45112.32,
Bonito,5002209,bonitense,JOSMAIL RODRIGUES,5378.723,23659,4.40,24761,97.3,0.670,5.36,251861361.81,247536687.61,53761.59,
Brasilândia,5002308,brasilandense,MARCIA REGINA DO AMARAL SCHIO,5803.542,11579,2.00,11840,98.7,0.701,-,147861021.93,148868435.43,72772.16,
Caarapó,5002407,caarapoense,MARIA LURDES PORTUGAL,2115.730,30612,14.47,32406,91.5,0.692,13.23,254983634.09,235141922.85,67669.26,
Camapuã,5002605,camapuense,MANOEL EUGENIO NERY,6238.127,13583,2.18,13920,97.9,0.703,6.45,144428933.85,147355577.68,46584.73,
