Pará | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2022],Total de despesas brutas empenhadas - R$ [2022],PIB per capita - R$ [2021],
Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188,98.21,170999,97.7,0.628,11.82,631282111.21,591813127.41,12150.04,
Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136,9.99,6302,97.6,0.622,-,49664461.85,42506524.43,13998.91,
Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023,13.59,62701,92.9,0.506,15.32,343376884.71,335558298.71,25714.69,
Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765,4.53,40246,88.4,0.489,11.74,233379737.07,225810070.44,11130.94,
Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080,2.54,17960,90.2,0.564,27.65,139407808.4,125296307.07,23136.75,
Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377,2.93,74836,95.6,0.564,19.23,241869819.2,226577305.63,12988.38,
Almeirim,1500503,almeiriense,MARIA LUCIDALVA BEZERRA DE CARVALHO,72968.578,34280,0.47,36334,95.8,0.642,21.37,265223885.88,241179473.92,20220.01,
Altamira,1500602,altamirense,LOREDAN DE ANDRADE MELLO,159533.306,126279,0.79,136982,93.1,0.665,13.03,679937260.37,678593218.71,26595.8,
Anajás,1500701,anajaense,VIVALDO MENDES CONCEIÇÃO,6913.640,28011,4.05,30003,90.6,0.484,10.01,185759382.24,182965155.35,8607.88,
Ananindeua,1500800,ananindeuense,DANIEL BARBOSA SANTOS,190.590,478778,2512.20,507838,96.7,0.718,11.72,1679544980.74,1631762828.47,16542.68,
Anapu,1500859,anapuense,LUIZ CARLOS AGUIAR LEITE,11895.270,31850,2.68,34947,94.2,0.548,13.79,187720107.21,180229454.95,20061.15,
Augusto Corrêa,1500909,augusto-correense,FRANCISCO EDINALDO QUEIROZ DE OLIVEIRA,1099.580,44573,40.53,47596,93.6,0.520,7.82,239280337.21,234057530.31,7750.19,
Aurora do Pará,1500958,auroenses,VANESSA GUSMÃO MIRANDA,1811.840,23774,13.12,24321,87.3,0.519,5.05,144686752.17,137517196.36,9584.87,
Aveiro,1501006,aveirense,JOÃO GERDAL PAIVA DINIZ JÚNIOR,17074.053,18290,1.07,19223,96.1,0.541,25.97,78146643.09,77655671.75,9254.57,
Bagre,1501105,bagrense,CLEBERSON FARIAS LOBATO RODRIGUES,4397.321,31892,7.25,34633,82.7,0.471,21.39,166215228.46,160800173.21,7837.69,
Baião,1501204,baionense,LOURIVAL MENEZES FILHO,3760.000,51641,13.73,55949,91.4,0.578,17.72,199121624.69,194717877.84,11367.06,
Bannach,1501253,bannaquense,VALBETANIO BARBOSA MILHOMEM,2956.649,4031,1.36,4252,95.2,0.594,-,45856402.55,42567935.36,39829.41,
Barcarena,1501303,barcarenense,JOSÉ RENATO OGAWA RODRIGUES,1310.338,126650,96.65,137331,97.3,0.662,13.45,1106167831.58,982418558.84,71473.92,
Belém,1501402,belenense,IGOR WANDER CENTENO NORMANDO,1059.458,1303403,1230.25,1398531,96.1,0.746,15.52,5855602662.04,5779482516.3,22216.33,
Belterra,1501451,belterrense,ULISSES JOSÉ MEDEIROS ALVES,4398.418,18099,4.11,18954,96.6,0.588,32.05,114413345.21,103329537.49,13218.69,
Benevides,1501501,benevidense,LUZIANE DE LIMA SOLON OLIVEIRA,187.826,63567,338.44,68191,97.4,0.665,9.15,297775991.43,276697083.76,30668.86,
Bom Jesus do Tocantins,1501576,bomjesuense,JEILSON DOS REIS SANTOS,2816.604,18005,6.39,18958,94.8,0.589,-,118908994.1,119888538.65,14134.87,
Bonito,1501600,bonitense,ALEX SOUZA DA SILVA,586.977,12622,21.50,12998,95,0.546,5.13,72735373.31,67165550.21,12325.25,
Bragança,1501709,bragantino,MARIO RIBEIRO DA SILVA JÚNIOR,2124.735,123082,57.93,131679,96.1,0.600,11.83,499008554.81,479432989.71,10679,
Brasil Novo,1501725,brasil-novense,WEDER MAKES CARNEIRO,6362.575,24718,3.88,26606,93.4,0.613,6.45,176494982.14,164310536.15,25519.93,
Brejo Grande do Araguaia,1501758,brejo-grandense,MARCOS DIAS DO NASCIMENTO,1288.473,6783,5.26,6985,94.6,0.591,-,53924106.23,52300112.44,15643.39,
Breu Branco,1501782,breuense,FLAVIO MARCOS MEZZOMO,3941.736,45712,11.60,47351,96,0.568,12.16,273422267.51,251891663.4,11579.35,
Breves,1501808,brevense,JOSÉ ANTÔNIO AZEVEDO LEÃO,9566.499,106968,11.18,115051,90.2,0.503,13.58,669917177.93,678769869.96,8572.43,
Bujaru,1501907,bujaruense,MIGUEL BERNARDO DA COSTA JUNIOR,994.662,24383,24.51,25112,91.9,0.552,9.37,180962023.99,148420997.62,18061.39,
Cachoeira do Piriá,1501956,cachoeira-piriaense,MARIA BERNADETE BESSA DO NASCIMENTO,2419.600,19630,8.11,19578,89.5,0.473,10.17,135003358.14,119612352.05,6447.28,
Cachoeira do Arari,1502004,cachoeirense,JAIME DA SILVA BARBOSA,3100.261,23981,7.74,25243,92.2,0.546,22.6,109451029.28,116231357.35,10504.21,
Cametá,1502103,cametaense,VICTOR CORREA CASSIANO,3082.190,134184,43.55,143837,96.7,0.577,17.66,561069146.33,588675697.9,9897.38,
Canaã dos Carajás,1502152,canaãnense,JOSEMIRA RAIMUNDA DINIZ GADELHA,3146.749,77079,24.49,86629,97.8,0.673,19.25,2104542402.13,2179160229.68,894806.28,
Capanema,1502202,capanemense,CLAUDIONOR MOREIRA DA COSTA,621.483,70394,113.27,74808,97.5,0.655,14.94,257646572.95,265673571.86,20438,
Capitão Poço,1502301,capitão-pocense,FERNANDA OLIVEIRA LIMA,2901.026,56506,19.48,59960,95.8,0.548,9.03,211351497.88,223791464.61,11289.26,
Castanhal,1502400,castanhalense,HELIO LEITE DA SILVA,1029.300,192256,186.78,207603,95.4,0.673,14.75,820847412.72,821973556.28,22897.75,
Chaves,1502509,chaveense,JOSÉ RIBAMAR SOUSA DA SILVA,12534.995,20757,1.66,21487,79.7,0.453,5.1,146669623.45,149490379.21,10269.71,
Colares,1502608,colarense,MARIA LUCIMAR BARATA,384.068,12868,33.50,13526,98.6,0.602,13.42,61639843.16,57838661.91,8293.17,
Conceição do Araguaia,1502707,conceicionense,ELIDA ELENA MOREIRA,5829.482,44617,7.65,47099,95.7,0.640,15.99,223603948.23,227632027.36,13775.85,
Concórdia do Pará,1502756,concordiense,ELISANGELA PAIVA CELESTINO,700.614,26881,38.37,28287,97,0.566,17.58,203388577.52,212249905.02,12274.67,
Cumaru do Norte,1502764,curaruense,CELIO MARCOS CORDEIRO,17085.001,14036,0.82,14937,85.3,0.550,30.49,120612754.09,111063346.38,28975.18,
Curionópolis,1502772,curionopolense,MARIANA AZEVEDO MARQUEZ CHAMON,2369.096,19950,8.42,20859,97.4,0.636,11.43,213097755.07,237633679.76,206447.92,
Curralinho,1502806,curralinense,CLEBER EDSON DOS SANTOS RODRIGUES,3617.350,33903,9.37,36451,93.8,0.502,23.74,212195546.14,218271623.89,7951.38,
Curuá,1502855,curuaense,JAIR DE SOUSA DAMASCENO,1431.351,14117,9.86,14834,97.3,0.578,4.65,76973977.23,70385241.26,10132.44,
Curuçá,1502905,curuçaense,HAMILTON BRITO DOS SANTOS ALVES,676.322,41262,61.01,44413,97,0.582,28.51,146923516.21,141795981.61,8998.53,
Dom Eliseu,1502939,dom-eliseuense,GERSILON SILVA DA GAMA,5268.809,58484,11.10,62322,95.7,0.615,9.82,265448428.93,255082715.35,15367.96,
Eldorado do Carajás,1502954,eldoradense,WAGNE COSTA MACHADO,2956.691,28192,9.53,29425,93.4,0.560,32.11,185812174.15,185891070.35,16321.07,
Faro,1503002,farense,PAULO VITOR MILEO GUERRA CARVALHO,11771.669,8728,0.74,9125,97.9,0.563,8.26,55877548.43,56479408.27,11041.86,
Floresta do Araguaia,1503044,floresta-araguaiense,MAJORRI CERQUEIRA DA SILVA AQUINO SANTIAGO,3444.285,17898,5.20,18565,94.9,0.583,6.12,119852622.82,122957823.46,29053.27,
Garrafão do Norte,1503077,garrafaense,MARCONES FARIAS DO NASCIMENTO,1608.014,24703,15.36,25552,94.2,0.526,23.26,136192977.25,141047119.47,10553.72,
Goianésia do Pará,1503093,goianesiense,FRANCISCO EDUARDO OLIVEIRA SILVA,7023.932,26362,3.75,27059,93.6,0.560,10.89,196843343.89,188372930.86,12156.01,
Gurupá,1503101,gurupaense,MARIA IRACILDA DE ALMEIDA ALHO,8569.676,31786,3.71,33922,88,0.509,14.62,262011544.04,262705517.64,9795.38,
Igarapé-Açu,1503200,igarapé-açuense,MÁRCIO NOGUEIRA LOPES,785.983,35797,45.54,37855,96.2,0.595,14.8,146571070.66,143288383.67,10600.35,
Igarapé-Miri,1503309,miriense,ROBERTO PINA OLIVEIRA,1996.798,64831,32.47,68955,93.5,0.547,17.66,293802649.42,282422729.27,10908.41,
Inhangapi,1503408,inhangapiense,JOSÉ ALVES FEITOSA OLIVEIRA JÚNIOR,472.605,10325,21.85,10754,97.3,0.572,7.19,66854209.18,70351285.48,14541.47,
Ipixuna do Pará,1503457,ipixunense,ARTEMES SILVA DE OLIVEIRA,5215.555,30329,5.82,30158,74.8,0.489,5.15,268194892.16,265642248.16,9307.92,
Irituia,1503507,irituense,PIO X SAMPAIO LEITE JUNIOR,1385.209,30955,22.35,32698,97.3,0.559,21.08,132152913.86,144569583.45,8517.6,
Itaituba,1503606,itaitubense,NICODEMOS ALVES DE AGUIAR,62042.472,123314,1.99,133684,94.4,0.640,26.92,670626489.09,634958289.29,30318.38,
Itupiranga,1503705,itupiranguense,WAGNO DA SILVA GODOI,7880.296,49754,6.31,52187,91.2,0.528,11.94,247648326.05,242189638.88,15755.46,
Jacareacanga,1503754,jacareacanguenses,SEBASTIÃO AURIVALDO PEREIRA SILVA,53304.563,24042,0.45,26006,90.1,0.505,9.33,232541706.44,204395395.69,90011.45,
Jacundá,1503804,jacundaense,ITONIR APARECIDO TAVARES,2008.333,37707,18.78,38391,96.3,0.622,10.03,216850775.15,209995459.57,10173.91,
Juruti,1503903,jurutiense,LUCIDIA BENITAH DE ABREU BATISTA,8306.240,50881,6.13,53952,96.6,0.592,15.8,343139306.59,335980228.52,24211.68,
Limoeiro do Ajuru,1504000,ajuruense,ALCIDES ABREU BARRA,1489.356,29569,19.84,31778,97.7,0.541,20.46,138266897.48,123818979.84,16981.77,
Mãe do Rio,1504059,mãe-riense,BRUNO ANDERSON DOS ANJOS RABELO,469.341,34353,73.19,37048,96.5,0.599,9.88,180846933.29,167925088.77,11198.48,
Magalhães Barata,1504109,magalhães-baratense,GERSON MIRANDA LOPES,323.984,8115,25.05,8428,98.4,0.597,-,55771273.44,61670380.51,11448.24,
Marabá,1504208,marabaense,ANTONIO CARLOS CUNHA SA,15127.872,266533,17.62,288513,94.7,0.668,13.54,1910173059.68,1724352235.95,47010.21,
Maracanã,1504307,maracanaense,REGINALDO DE ALCANTARA CARRERA,807.628,25971,32.16,27207,98.1,0.570,25.16,149220822.96,145161552.31,9810.78,
Marapanim,1504406,marapaniense,CLEITON ANDERSON FERREIRA DIAS,804.625,26573,33.03,28105,99,0.609,16.84,122743193.36,117387725.77,9230.71,
Marituba,1504422,maritubense,PATRÍCIA RONIELLY RAMOS ALENCAR,103.214,111785,1083.04,118998,95.5,0.676,16.53,557209189.57,552348506.74,18986.11,
Medicilândia,1504455,medicilandense,JULIO CESAR DO EGITO,8272.629,27094,3.28,28633,94.5,0.582,2.34,149537944.15,138075556.88,31655.85,
Melgaço,1504505,melgacense,JOSE FRANCISCO VIEGAS DIAS,6772.764,27881,4.12,29846,85.4,0.418,15.87,170053922.51,170554788.37,7711.49,
Mocajuba,1504604,mocajubense,ALUÍSIO VALENTE VIEIRA,871.168,27198,31.22,28821,96.5,0.575,11.85,171649554.52,165213001.46,14164.3,
Moju,1504703,mojuense,RUBENS DE SOUSA TEIXEIRA,9094.139,84094,9.25,90795,93.1,0.547,15.28,394887837.14,380521830.03,16005.52,
Mojuí dos Campos,1504752,mojuiense,JAILSON DA COSTA ALVES,4988.236,23501,4.71,25312,-,-,12.08,118373084.4,116710724.05,17727.77,
Monte Alegre,1504802,montalegrense,JOSE ALFREDO SILVA HAGE JUNIOR,18151.323,60012,3.31,63641,96.1,0.589,20.8,297269313.61,301813474.91,13850.64,
Muaná,1504901,muanaense,MARCOS PAULO BARBOSA PANTOJA,3763.343,45368,12.06,48955,92.6,0.547,19.13,247020727.87,235165353.94,8172.04,
Nova Esperança do Piriá,1504950,piriaense,ALCINEIA DO SOCORRO CARMO DOS SANTOS,2808.195,20478,7.29,21259,91.2,0.502,11.15,64318763.33,61497182.04,16303.8,
Nova Ipixuna,1504976,nova-ipixunense,EVERTON MACIAS FREITAS,1564.184,13955,8.92,14417,95.1,0.581,11.7,90278364.69,85469877.64,11311.77,
