Piauí | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Acauã,2200053,acauãnense,REGINALDO RAIMUNDO RODRIGUES,1280.838,6420,5.01,6515,97.5,0.528,24.39,38794003.1,35941654.43,10332.99,
Agricolândia,2200103,agricolandiense,MARCOS ANTONIO CARVALHO DE SOUSA,112.392,4940,43.95,5023,97.5,0.599,-,42232174.25,39774199.27,9229.59,
Água Branca,2200202,água-branquense,JOSE RIBEIRO DA CRUZ JUNIOR,96.842,17573,181.46,18033,98.6,0.639,8.3,128040406.73,107175427.35,13921.29,
Alagoinha do Piauí,2200251,alagoinhense,PEDRO OTACILIO DE SOUSA MOURA,535.890,6819,12.72,6901,93.6,0.531,-,33681791.03,31291090.71,8523.28,
Alegrete do Piauí,2200277,alegretense,MARCIO WILLIAN MAIA ALENCAR,243.732,4634,19.01,4713,96.7,0.585,18.18,37896891.52,33969541.53,9791.41,
Alto Longá,2200301,longaense,BELAUTO MOREIRA TORRES,1743.331,13479,7.73,13734,97.9,0.585,16.39,62800543.98,61022209.19,9112.43,
Altos,2200400,altoense,MAXWELL PIRES FERREIRA,957.232,47453,49.57,49637,97.6,0.614,20.91,237822934.6,240687827.29,13219.3,
Alvorada do Gurguéia,2200459,alvoradense,LECIO GUSTAVO SOUSA BEZERRA,2131.506,5322,2.50,5459,97.4,0.578,-,40811020.47,36064302.95,15016.43,
Amarante,2200509,amarantino,ADRIANO DA GUIA DA SILVA,1152.127,17234,14.96,17577,97.2,0.598,34.63,107624630.45,98479276.18,10937.14,
Angical do Piauí,2200608,angicalense,BRUNO FERREIRA SOBRINHO NETO,222.008,6827,30.75,6982,96.9,0.630,32.26,45929670.16,41057399.07,9846.26,
Anísio de Abreu,2200707,anisiense,RAMON RUBEN DE MACÊDO,337.877,9407,27.84,9631,98.3,0.594,54.05,61904330.32,60738251.89,9900.44,
Antônio Almeida,2200806,antônio-almeidense,MARCELO TOLEDO LAURINI,644.800,3152,4.89,3228,99.6,0.620,-,43082685,38679476.33,45295.91,
Aroazes,2200905,aroazense,MANOEL PORTELA DE CARVALHO NETO,821.212,5369,6.54,5433,98.9,0.583,63.83,45786173.24,43019223.64,9847.89,
Aroeiras do Itaim,2200954,aroeirense,FRANCISCO MARCIANO MACEDO,316.235,2690,8.51,2766,94.2,0.519,55.56,29477625.29,27326383.77,9652.94,
Arraial,2201002,arraialense,ALDEMES BARROSO DA SILVA,682.727,4520,6.62,4593,97.7,0.560,17.54,44515225.72,40560184.23,10380.26,
Assunção do Piauí,2201051,assunçãoense,JOVELINO SOARES DA SILVA,1690.703,7452,4.41,7597,97.9,0.499,11.24,57396725.95,58492648.03,8156.68,
Avelino Lopes,2201101,avelino-lopense,FLÁVIO JOSÉ ALVES,1220.371,10866,8.90,11106,97.2,0.554,13.16,68038254.48,66810149.12,8590.91,
Baixa Grande do Ribeiro,2201150,baixagrandense do ribeiro,JOSÉ LUIS SOUSA,7808.915,13272,1.70,13838,96.4,0.564,11.24,172465795.6,146995258.95,150504.56,
Barra D'Alcântara,2201176,barra d’alcantarense,MARDONIO SOARES LOPES,263.943,3995,15.14,4091,96,0.577,37.04,33105961.36,31123237.47,9856.65,
Barras,2201200,barrense,EDILSON SÉRVULO DE SOUSA,1722.507,47938,27.83,49533,97.5,0.595,13.89,250231568.64,233731649.93,10520.51,
Barreiras do Piauí,2201309,barreirense,MANOEL AROLDO BARREIRA FILHO,2168.713,3264,1.51,3334,98.5,0.557,40,36917387.39,32760195.97,48620.97,
Barro Duro,2201408,barro-durense,ELOI PEREIRA DE SOUSA,159.436,6640,41.65,6744,96.9,0.612,18.52,43685215.28,45319009.4,12792.63,
Batalha,2201507,batalhense,JOSÉ LUIZ ALVES MACHADO,1589.011,26300,16.55,27123,99.2,0.545,6.56,121082852.8,111467384.79,9305.89,
Bela Vista do Piauí,2201556,bela  vistense,FRANCISCO DE SOUSA NETO,499.092,4091,8.20,4208,97.6,0.576,-,31507440.85,26411611.22,11591.5,
Belém do Piauí,2201572,belenense,JÔNATHAS DE CARVALHO NORONHA,243.234,3423,14.07,3508,97,0.551,31.25,42169935.72,39221026.61,11440.06,
Beneditinos,2201606,beneditinense,TALLES GUSTAVO MARQUES RODRIGUES,937.098,9929,10.60,10104,97.2,0.557,10.31,71498506.99,67701879.55,8769.43,
Bertolínia,2201705,bertolinense,RODRIGO DA ROCHA MARTINS,1216.116,5562,4.57,5701,97.6,0.612,-,47530601.53,44060977.42,13091.16,
Betânia do Piauí,2201739,betanhense,IJOSEVAN COELHO DAMASCENO,579.576,6220,10.73,6368,97,0.489,18.18,47065116.76,43658110.32,10067.79,
Boa Hora,2201770,boa horense,DOMINGOS COELHO DE RESENDE,336.954,6902,20.48,7108,99,0.575,33.71,43718675.66,38898894.17,9127.74,
Bocaina,2201804,bocainense,GUILHERME PORTELA DE DEUS MACÊDO,261.651,4078,15.59,4131,97.4,0.632,54.05,33261154.12,33706113.23,10594.7,
Bom Jesus,2201903,bom-jesuense,NESTOR RENATO PINHEIRO ELVAS,5471.023,28796,5.26,30321,97.9,0.668,10.14,231497160.58,221979240.82,55119.81,
Bom Princípio do Piauí,2201919,bomprincipiense,FRANCISCO APOLINARIO COSTA MORAES,523.142,5636,10.77,5786,97.7,0.532,29.85,35732436.58,34387669.23,12374.89,
