Paraná | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Abatiá,4100103,abatiense,SONIA APARECIDA DE SOUZA CHAVES,228.717,7241,31.66,7271,96.5,0.687,-,48184401.79,40393403.63,30140.55,
Adrianópolis,4100202,adrianopolitano ou adrianopolense,VANDIR DE OLIVEIRA ROSA,1349.311,6256,4.64,6327,95.8,0.667,-,65885671.73,60528116.73,63631.39,
Agudos do Sul,4100301,agudense-do-sul ou agudense,GENEZIO GONÇALVES DA LUZ,192.261,10233,53.22,10646,96.3,0.660,29.85,56439846.05,48989315.67,22674.09,
Almirante Tamandaré,4100400,tamandareense,CAMILO DANIEL LOVATO,194.228,119825,616.93,124788,95.6,0.699,6.57,469814308.45,432867643.62,15947.74,
Altamira do Paraná,4100459,altamirense,ELZA APARECIDA DA SILVA,386.945,3590,9.28,3543,97.5,0.667,21.28,46198534.1,43168730.04,67332.6,
Altônia,4100509,altoniano,DIEGO JARDIM PERGO,661.560,18742,28.33,18750,99.7,0.721,4.9,128448172.29,124523869.72,20747.69,
Alto Paraná,4100608,alto-paranaense,CLAUDEMIR JOIA PEREIRA,407.719,13909,34.11,14138,96,0.696,24.84,98195545.18,97629840.31,29192.99,
Alto Piquiri,4100707,alto-piquirense,GIOVANE MENDES DE CARVALHO,447.666,9727,21.73,9802,97.7,0.676,16,72062780.26,64639205.19,42092.67,
Alvorada do Sul,4100806,alvoradense-do-sul,MARCOS ANTONIO GASPARELLI,424.250,10326,24.34,10478,97.4,0.708,10.53,98949998.52,98055609.52,29176.4,
Amaporã,4100905,amaporense,MARCOS MARIN,384.735,4762,12.38,4736,98.3,0.669,-,58267629.95,51115528.84,18911.54,
Ampére,4101002,amperense,DOUGLAS DIEMS MOROCKOSKI POTRICH,298.349,19620,65.76,20199,99.3,0.709,18.12,134464313.94,121726775.85,38549.37,
Anahy,4101051,anaiense,ARILSON BATISTA DE SOUZA,102.895,2918,28.36,2965,97.4,0.695,96.77,42860517.06,38037548.76,41475.92,
Andirá,4101101,andiraense,EDNYRA APARECIDA SANCHES BUENO DE GODOY FERREIRA,235.944,19878,84.25,20044,99.1,0.725,9.17,140743965.98,140625577.22,41191.94,
Ângulo,4101150,angulense,ALEXANDRE DE SOUSA PROFETA,106.021,3235,30.51,3332,100,0.721,25.64,48566439.7,48971722.19,52613.12,
Antonina,4101200,antoninense,ROZANE MARISTELA BENEDETTI OSAKI,891.582,18091,20.29,18223,97.6,0.687,20.62,158785532.22,151028487.72,37048.49,
Antônio Olinto,4101309,antoniolintense,FABIO STANISZEWSKI MACHIAVELLI,469.620,7018,14.94,7071,98.6,0.656,14.49,50575449.05,49357482.33,31445.78,
Apucarana,4101408,apucaranense,RODOLFO MOTA DA SILVA,556.990,130134,233.64,134306,97.8,0.748,9.68,687565975.37,652889778,28189.54,
Arapongas,4101507,araponguense,RAFAEL FELIPE CITA,382.215,119138,311.70,123863,97.3,0.748,11.5,770873051.87,668998564.05,39149.76,
Arapoti,4101606,arapotiense,IRANI JOSE BARROS,1360.742,25777,18.98,26310,97.7,0.723,19.83,190171421.16,161373750.11,50824.66,
Arapuã,4101655,arapuense,MANOEL SALVADOR,217.371,3527,16.23,3573,97.1,0.676,23.81,43140389.47,37505507.81,51561.44,
Araruna,4101705,ararunense,GUSTAVO FRANÇA DOS SANTOS,493.191,14485,29.37,14824,99.1,0.704,17.65,101642497.11,89235336.09,39018.11,
Araucária,4101804,araucariano,LUIZ GUSTAVO BOTOGOSKI,469.240,151666,323.22,160038,97.4,0.740,9.46,2018828659.28,1765535101.33,170125.52,
Ariranha do Ivaí,4101853,ariranhense do ivaí,THIAGO EPIFANIO DA SILVA,234.075,2329,9.95,2351,99.4,0.670,35.71,42855937.32,38805906.32,63664.72,
Assaí,4101903,assaiense,MICHEL ANGELO BOMTEMPO,440.347,13797,31.33,13643,98,0.728,-,106687291.65,93803567.87,36478.15,
