Rio de Janeiro | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Angra dos Reis,3300100,angrense,CLÁUDIO DE LIMA SÍRIO,813.420,167434,205.84,179120,96.4,0.724,13.01,2633501082.45,2719192203.92,53262.55,
Aperibé,3300159,aperibeense,RONALD DE CÁSSIO DAIBES MOREIRA,94.542,11034,116.71,11420,96.7,0.692,8.93,114430356.13,112874500.25,20698.33,
Araruama,3300209,araruamense,DANIELA CUINSE ABREU SOARES,638.276,129671,203.16,137773,98.3,0.718,15.87,1198076827.01,1231890942.65,31109.37,
Areal,3300225,arealense,JOSÉ AUGUSTO BERNARDES LIMA,110.724,11828,106.82,12236,98,0.684,8.4,155211071.14,165940832.44,33490.89,
Armação dos Búzios,3300233,buziano,ALEXANDRE DE OLIVEIRA MARTINS,70.977,40006,563.65,42442,97.6,0.728,15.03,633598126.29,551852677.58,84721.42,
Arraial do Cabo,3300258,cabista,MARCELO MAGNO FELIX DOS SANTOS,152.106,30986,203.71,32794,99.2,0.733,17.95,844037128.76,738840681.7,87763.22,
Barra do Piraí,3300308,barrense,KÁTIA CRISTINA MIKI DA SILVA,584.610,92883,158.88,98501,98.7,0.733,11.45,438829523.47,516510810.15,26833.48,
Barra Mansa,3300407,barra-mansense,LUIZ ANTÔNIO FURLANI FILHO,547.133,169894,310.52,181688,98.4,0.729,9.94,963150532.15,969472309.67,34816.53,
Belford Roxo,3300456,belford-roxense,MARCIO CORREIA DE OLIVEIRA,78.985,483087,6116.19,518263,96.2,0.684,16.62,1250210287.53,1508681791.22,17156.71,
Bom Jardim,3300506,bom-jardinense,AFFONSO HENRIQUES MONNERAT ALVES DA CRUZ,382.430,28102,73.48,29736,97.4,0.660,27.03,178379284.08,176194834.57,31941.54,
Bom Jesus do Itabapoana,3300605,bom-jesuense,PAULO SERGIO TRAVASSOS DO CARMO CYRILLO,596.659,35173,58.95,37172,98.1,0.732,9.78,295613296.6,294885930.45,24343.72,
Cabo Frio,3300704,cabo-friense,SERGIO LUIZ COSTA AZEVEDO FILHO,413.449,222161,537.34,238166,96.9,0.735,11.42,1529765894.6,1645620503.31,52801.54,
Cachoeiras de Macacu,3300803,cachoeirense,RAFAEL MUZZI DE MIRANDA,954.749,56943,59.64,59837,98.4,0.700,3.34,484486434.55,543508204.06,21885.51,
Cambuci,3300902,cambuciense,MURILLO SILVA DEFANTI,558.281,14616,26.18,15070,98.8,0.691,-,134497112.23,154380592.95,25807.81,
Carapebus,3300936,carapebuense,BERNARD TAVARES DIDIMO,304.885,13847,45.42,14325,98.7,0.713,14.29,209475363.57,168216181.1,43108.68,
Comendador Levy Gasparian,3300951,gaspariense,CLAUDIO MANNARINO,108.639,8741,80.46,9044,99.4,0.685,45.05,111348047.4,103258376.93,70311.39,
Campos dos Goytacazes,3301009,campista,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,4032.487,483540,119.91,519011,97.3,0.716,16.63,2949530786.04,3305688770.76,72243.98,
