Rio Grande do Norte | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Acari,2400109,acariense,FERNANDO ANTONIO BEZERRA,608.466,10597,17.42,10865,97.6,0.679,-,60678714.5,62954076.69,12785.32,
Açu,2400208,açuense,LUIS EDUARDO PIMENTEL SOARES,1303.442,56496,43.34,58906,97.6,0.661,6.42,302332717.57,258870497.16,24982.91,
Afonso Bezerra,2400307,afonso-bezerrense,HAROLDO JOSÉ BEZERRA DA PAZ,576.179,10839,18.81,11149,98.8,0.585,8.93,71249348.87,69565749.95,12542.16,
Água Nova,2400406,água-novense,MACÁRIO SILVA DE CARVALHO,50.684,2946,58.12,3028,99.2,0.616,-,30808155.08,27766332.93,10492.84,
Alexandria,2400505,alexandrinense,RAIMUNDO FERREIRA DE ANDRADE,381.205,13640,35.78,14042,97.5,0.606,-,97764050.77,99513997.32,11145.72,
Almino Afonso,2400604,almino-afonsense,JÉSSICA LOURINE DE ASSIS AMORIM,128.038,4687,36.61,4806,95.5,0.624,46.51,44990353.04,45237270.49,10685.63,
Alto do Rodrigues,2400703,alto-rodriguense,RAQUEL LEMOS BESSA DE OLIVEIRA,191.334,12484,65.25,12857,97.3,0.672,-,142077346.92,130459668.66,41300.47,
Angicos,2400802,angicano,MIGUEL PINHEIRO NETO,741.582,11632,15.69,11973,96.5,0.624,7.41,56963874.7,55879259.77,15405.34,
Antônio Martins,2400901,antônio-martinense,JESSICA IRIS FERREIRA DE OLIVEIRA,244.897,6577,26.86,6738,98,0.578,42.55,38164825.08,33762434.2,9149.14,
Apodi,2401008,apodiense,LUIS SABINO DA COSTA NETO,1569.146,36093,22.52,37390,97.2,0.639,8.88,148490374.15,134678768.44,19763.55,
Areia Branca,2401107,areia-branquense,MANOEL CUNHA NETO,342.749,24093,70.29,24643,99.3,0.682,6.35,180310209.97,158834503.74,33242.44,
Arês,2401206,aresense,BERGSON IDUINO DE OLIVEIRA,115.407,13251,114.82,13657,97.8,0.606,15.54,87853718.05,76549731.5,26616.72,
Campo Grande,2401305,augusto-severense,FRANCISCO DAS CHAGAS EUFRÁSIO VIEIRA DE MELO,890.890,9730,10.92,10045,98,0.621,-,47052409.75,44636809.02,10877.1,
Baía Formosa,2401404,baía-formosense,CAMILA VERAS DE MELO CAVALCANTI,247.484,8825,35.66,9098,98.1,0.609,24,60240991.31,53326198.77,34677.49,
Baraúna,2401453,baraunense,MARIA DIVANIZE ALVES DE OLIVEIRA,825.681,26913,32.59,28268,96.9,0.574,3.18,161560700.62,141678279.13,25638.97,
Barcelona,2401503,barcelonense,FABIANO LOPES PEREIRA,152.626,3986,26.12,4103,98.6,0.566,-,33915835.88,31782429.4,11497.86,
Bento Fernandes,2401602,bento-fernandense,JOLLEMBERG SOARES DANTAS,301.069,4807,15.97,4920,98.5,0.582,-,41013262.61,37886818.52,15927.67,
Bodó,2401651,bodoense,HORISON JOSE DA SILVA,253.519,2306,9.10,2363,98.3,0.629,-,40462708.34,35220330.78,132001.37,
Bom Jesus,2401701,bom-jesuense,JOSE NILSON PEREIRA DA SILVA,122.035,9952,81.55,10279,99.2,0.584,8.06,62372745.13,60949952.51,10591.65,
Brejinho,2401800,brejinense,JEFERSON RODOLFO GOMES COSTA,61.559,12202,198.22,12603,95.3,0.592,6.67,62232009.86,56950503.15,10833.97,
Caiçara do Norte,2401859,caiçarense do norte,ALCÉLIO FERNANDES BARBOSA,225.633,6293,27.89,6474,97.3,0.574,-,42535462.62,37732003.86,17069.03,
Caiçara do Rio do Vento,2401909,caiçarense-do-rio-do-vento,CONCEICAO DE MARIA GOMES LISBOA ROCHA,261.194,3268,12.51,3359,96.3,0.587,-,43203508.57,35904105.53,16143.48,
Caicó,2402006,caicoense,JUDAS TADEU ALVES DOS SANTOS,1228.583,61146,49.77,63339,97.3,0.710,10.02,271207958.42,256743888.96,20295.8,
Campo Redondo,2402105,campo-redondense,RENAM LUIZ DE ALENCAR CARVALHO,213.727,10215,47.79,10504,96.1,0.626,-,69829720.25,62968542.46,9413.69,
Canguaretama,2402204,canguaretamense,LEANDRO VARELA DOS SANTOS,245.485,29668,120.85,30806,97.6,0.579,17.86,172021296.37,159602975.97,17397.55,
Caraúbas,2402303,caraubense,PAULO GIVAGO BARRETO ALVES,1094.488,19727,18.00,20161,98.7,0.638,11.05,118497169.85,117129389.81,18149.44,
Carnaúba dos Dantas,2402402,carnaubense,KLEYTON MEDEIROS DANTAS,246.308,7992,32.45,8267,97.8,0.659,10.87,48501864.7,42831897.43,14267.01,
Carnaubais,2402501,carnaubaense,GLEIDSON BENEVIDES DE OLIVEIRA,517.737,9714,18.76,10010,97.5,0.589,-,80137060.47,70566640.12,19226.26,
Ceará-Mirim,2402600,ceará-miriense,ANTONIO HENRIQUE CAMARA BEZERRA,724.838,79115,109.15,83009,95.5,0.616,13.54,353243578.3,331766606.09,13494.44,
Cerro Corá,2402709,cerro-coraense,MACIEL DOS SANTOS FREIRE,393.573,11000,27.95,11322,98.1,0.607,-,72784467.55,65434839.41,12557,
Coronel Ezequiel,2402808,coronel-ezequielense,THALES WATSON FARIAS DE AZEVEDO,185.748,5117,27.55,5241,99,0.587,-,35279491.94,32558958.67,9545.02,
Coronel João Pessoa,2402907,pessoense,MARIA DE FÁTIMA ALVES DA COSTA,117.139,4237,36.17,4315,96,0.578,-,37511500.76,36537583.97,9794.12,
Cruzeta,2403004,cruzetense,JOAQUIM JOSÉ DE MEDEIROS,295.830,8005,27.06,8238,99.3,0.654,-,57382780.7,57594891.09,15454.6,
Currais Novos,2403103,currais-novense,LUCAS GALVÃO DA CRUZ,864.349,41313,47.80,42930,97.8,0.691,16.75,187905440.06,174600909.75,17863.07,
Doutor Severiano,2403202,severianense,MARIA DE FÁTIMA LEITE GONÇALVES,113.737,7044,61.93,7253,97.6,0.621,11.76,64899865.71,56123902.1,11114.41,
Parnamirim,2403251,parnamirinense,RAIMUNDA NILDA DA SILVA CRUZ,124.006,252716,2037.93,269298,97.9,0.766,9.21,1012054099.55,1031469985.34,25121.67,
Encanto,2403301,encantense,ALBERONE NERI DE OLIVEIRA LIMA,125.749,6016,47.84,6252,97.5,0.629,30.3,47646989.72,41352118.09,10934.35,
Equador,2403400,equadoense,CLETSON RIVALDO DE OLIVEIRA,264.985,5360,20.23,5476,98.9,0.623,-,40734348.33,35508292.36,13518.66,
Espírito Santo,2403509,espírito-santense,JOSE FAGNER FREIRE,135.837,10620,78.18,10936,95.5,0.558,20.41,64598820.91,52297553.74,9326.78,
Extremoz,2403608,extremozense,JUSSARA SALES DE SOUZA,140.639,61635,438.25,66993,96.6,0.660,9.88,262181309.78,255481697.58,19480.39,
Felipe Guerra,2403707,felipe-guerrense,SALOMAO GOMES DE OLIVEIRA,292.177,5944,22.13,6458,99.2,0.636,-,80033062.75,72419311.17,28927.71,
Fernando Pedroza,2403756,fernando-pedrozense,JOÃO MARIA BRAGA,322.628,2938,9.11,3029,95.3,0.597,60.61,30344376.51,31045422.7,12680.91,
