Rio Grande do Sul | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Aceguá,4300034,aceguaense,MARCUS VINÍCIUS GODOY DE AGUIAR,1551.339,4170,2.69,4253,93.9,0.687,-,63851994.01,62880088.59,91994.39,
Água Santa,4300059,água-santense,JULIANO FAVRETTO,291.526,3912,13.42,4000,98.5,0.750,27.03,50926977.45,44324927.58,146445.07,
Agudo,4300109,agudense,LUIS HENRIQUE KITTEL,534.624,16041,30.00,16346,96.5,0.694,5.46,131867321.18,115724193,40863.53,
Ajuricaba,4300208,ajuricabense,PAULO CLAUDIO DOLOVITSCH,322.674,6720,20.83,6848,98.5,0.753,20,60979476.21,56485970.78,74961.71,
Alecrim,4300307,alecrinense,NEUSA LEDUR KUHN,316.394,6123,19.35,6228,97.1,0.672,-,42521184.14,40237261.46,28383.93,
Alegrete,4300406,alegretense,JESSE TRINDADE DOS SANTOS,7800.552,72409,9.28,74329,98.9,0.740,6.63,405027646.94,403989343.08,42485.08,
Alegria,4300455,alegriense,FABIO LUCIANO SCHAKOFSKI,172.794,3651,21.13,3711,98.9,0.695,-,39347441.32,34090522.91,47648.88,
Almirante Tamandaré do Sul,4300471,tamandarense,DILSE JOSEFINA KLEIN BICIGO,265.042,1969,7.43,2008,100,0.740,-,35999932.54,31299236.76,142847.94,
Alpestre,4300505,alpestrense,RUDIMAR ARGENTON,325.979,7117,21.83,7243,98.1,0.671,-,87214531.43,89278250.16,33369.8,
Alto Alegre,4300554,alto-alegrense,SILMAR DEMAMAN,115.335,1800,15.61,1837,98.1,0.747,-,35568816.65,28699353.77,66755.15,
Alto Feliz,4300570,alto-felizense,ROBES SCHNEIDER,78.170,3072,39.30,3143,98.1,0.734,-,46707604.66,39353188.43,53088.35,
Alvorada,4300604,alvoradense,DOUGLAS MARTELLO DE SOUZA SILVEIRA,71.702,187315,2612.48,194116,95.3,0.699,10.79,778377063.31,683859529.48,15550.82,
Amaral Ferrador,4300638,amaralense,RONIVAN FONTOURA BRAGA,506.109,5310,10.49,5394,98.3,0.624,-,39737144.24,34753233.03,20688.31,
Ametista do Sul,4300646,ametistense,GILMAR DA SILVA,93.605,7650,81.64,7822,100,0.682,-,61183180.36,54343191.41,24036.02,
André da Rocha,4300661,andré-rochense,FELIPE EDUARDO SEMINOTI JACQUES,331.208,1135,3.43,1157,100,0.720,62.5,30913505.43,28023091.8,142922.95,
Anta Gorda,4300703,anta-gordense,FRANCISCO DAVID FRIGHETTO,242.100,5957,24.61,6080,97.8,0.740,-,57564732.42,52342558.45,54248.7,
Antônio Prado,4300802,pradense,ROBERTO JOSÉ DALLE MOLLE,347.541,13045,37.54,13328,98.6,0.758,26.49,106682044.51,89102382.13,61154.04,
