São Paulo | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Adamantina,3500105,adamantinense,JOSÉ CARLOS MARTINS TIVERON,411.987,34687,84.19,35642,97.6,0.790,8.33,313833384.84,290958010.06,38997.12,
Adolfo,3500204,adolfino,RICARDO DI GIORGIO ROBLES,211.055,4351,20.62,4478,98.6,0.730,-,50181541.52,43661787.44,32578.28,
Aguaí,3500303,aguaiano,GILBERTO LUIZ MORAES SELBER,474.554,32072,67.58,32888,95.8,0.715,7.94,178612817.81,148772582.19,35551.7,
Águas da Prata,3500402,pratense,CARLOS HENRIQUE FORTES DEZENA,142.673,7369,51.65,7470,98.8,0.781,17.54,61132118.93,64547784.11,25297.02,
Águas de Lindóia,3500501,lindoiense,GERALDO MANTOVANI FILHO,60.126,17930,298.21,18245,96.2,0.745,13.57,163353038.89,153149448.37,30971.23,
Águas de Santa Bárbara,3500550,santa-barbarense,WILIAN JOSÉ DE OLIVEIRA MEANA,404.463,7177,17.74,7407,98.2,0.757,-,75539600.88,64539490.17,35378.64,
Águas de São Pedro,3500600,água-pedrense,JOÃO VICTOR BARBOZA,3.612,2780,769.66,2829,98.4,0.854,33.33,63967175.06,60456980.05,41208.23,
Agudos,3500709,agudense,RAFAEL LIMA FERNANDES,966.708,37680,38.98,38879,97.9,0.745,8.53,253890623.03,232147902.5,70209.74,
Alambari,3500758,alambariense,JOÃO PAULO DANTAS PINTO,159.600,6141,38.48,6330,99.3,0.712,-,46269803.4,41404870.36,20765.46,
Alfredo Marcondes,3500808,marcondense,CELSO PIRANI PASSOS,118.915,4445,37.38,4556,98.6,0.741,-,40469408.5,37671857.23,28649.11,
Altair,3500907,altairense,MARCO ANTONIO FERREIRA,313.007,3451,11.03,3479,96,0.687,41.67,43277037.31,37332658.89,26662.17,
Altinópolis,3501004,altinopolense,HUELDER DONIZETE MALAGUTTI FERREIRA,928.956,16818,18.10,17156,99.3,0.730,13.07,132980184.19,113555752.67,51377.61,
Alto Alegre,3501103,alto-alegrense,CARLOS SUSSUMI IVAMA,318.574,3841,12.06,3883,95.1,0.700,-,43706858.55,38756483.7,27853.08,
Alumínio,3501152,aluminense,ANA PAULA DE CASSIA NETTO,83.619,17301,206.90,17591,98.8,0.766,17.24,176139873.71,168717241.43,210670.96,
Álvares Florence,3501202,alvares florencense,ADILSON BATISTA LEITE,362.411,3915,10.80,3978,99.3,0.728,-,42395411.15,36851486.63,34389.1,
Álvares Machado,3501301,machadense,LUIZ FRANCISCO BOIGUES,347.647,27255,78.40,28250,98.3,0.758,11.94,137502534.36,119633561.39,28306.72,
Álvaro de Carvalho,3501400,carvalhense,ADILSON DE OLIVEIRA LOPES,153.662,4808,31.29,4896,99.2,0.688,62.5,36148145.26,33809957.04,11012.49,
Alvinlândia,3501509,alvinlandense,ANTONIO FERREIRA DE MORAES JUNIOR,84.879,2885,33.99,2923,99.3,0.722,-,31395901.61,28621964.75,17965.24,
Americana,3501608,americanense,FRANCISCO ANTONIO SARDELLI,133.912,237240,1771.61,246655,98,0.811,8.65,1467236512.91,1403835017.65,62271.47,
Américo Brasiliense,3501707,américo-brasiliense,TEREZINHA APARECIDA VIVEIROS DE SOUZA,122.958,33019,268.54,33757,98.6,0.751,16.3,190433743.85,172127189.75,29617.13,
Américo de Campos,3501806,americampense,RAFAEL GIMENEZ MARIOTO,252.876,5870,23.21,5975,98.2,0.745,-,48197355.01,42720088.82,21158.4,
Amparo,3501905,amparense,CARLOS ALBERTO MARTINS,445.323,68008,152.72,69717,95.7,0.785,5.55,554019302.52,485374609.36,70437.56,
Analândia,3502002,analandense,SILVANA MARCIA PERIN CAMPBELL PENNA,325.953,4589,14.08,4684,99.7,0.754,19.23,58881840.58,54518990.82,40726.1,
Andradina,3502101,andradinense,MARIO CELSO LOPES,964.226,59783,62.00,61473,98.2,0.779,18.05,345384998.84,300905614.25,49703.65,
Angatuba,3502200,angatubense,NICOLAS BASILE ROCHEL,1027.288,24022,23.38,24512,98.3,0.719,9.4,167886919.73,149834474.73,57306.48,
Anhembi,3502309,anhembiense,JAIRO DE GÓIS,736.557,5674,7.70,5766,97.2,0.721,43.48,66831997.47,61895293.46,24534.54,
Anhumas,3502408,anhumense,ADAILTON CESAR MENOSSI,320.840,4023,12.54,4108,98.3,0.741,-,48206999.48,41041136.56,25316.58,
Aparecida,3502507,aparecidense,JOSE LUIZ RODRIGUES,120.890,32569,269.41,33223,98.4,0.755,26.32,218514508.92,210860025.66,28750.03,
Aparecida d'Oeste,3502606,aparecidense,IZAIAS APARECIDO SANCHEZ,179.004,4086,22.83,4124,97.7,0.721,-,41068260.86,38938251.91,36763.62,
Apiaí,3502705,apiaiense,SERGIO VICTOR BORGES BARBOSA,974.322,24585,25.23,24886,97.3,0.710,9.49,152383724.41,138951360.07,37278.88,
Araçariguama,3502754,araçariguamense,RODRIGO DE ANDRADE,145.204,21522,148.22,22168,98.2,0.704,9.06,247324899.93,265757014.06,206250.44,
Araçatuba,3502804,araçatubense,LUCAS PAVAN ZANATTA,1167.126,200124,171.47,207775,97.6,0.788,14.18,1085202504.98,1055155552.93,45268.6,
Araçoiaba da Serra,3502903,araçoiabano,JOSÉ CARLOS DE QUEVEDO JUNIOR,255.305,32443,127.08,33656,99.4,0.776,21.22,234498020.25,227640492.87,34075.1,
Aramina,3503000,araminense,LUIS SÉRGIO CELESTE JORGE,202.829,5420,26.72,5526,98.7,0.740,-,49062547.88,43903724.52,26415.31,
Arandu,3503109,aranduense,FLAVIO CARLOMAGNO GALHEGO,285.908,6885,24.08,7050,98.4,0.685,36.59,69833316.95,63513197.11,30569.27,
Arapeí,3503158,arapeiense,RENÊ LÚCIO GONÇALVES,156.903,2330,14.85,2355,98.7,0.680,-,39416153.74,38795813.22,18584.03,
Araraquara,3503208,araraquarense,LUIS CLAUDIO LAPENA BARRETO,1003.625,242228,241.35,252318,98.7,0.815,14.64,1853090162.3,1777396870.35,49692.93,
Araras,3503307,ararense,IRINEU NORIVAL MARETTO,644.831,130866,202.95,135331,97.5,0.781,9.15,992147262.24,1055730697.49,50772.4,
Arco-Íris,3503356,arcoirense,ALDO MANSANO FERNANDES,264.904,2044,7.72,2085,99.1,0.722,-,34085521.91,28987307.87,35382.28,
Arealva,3503406,arealvense,PAULO JULIANO NICOLIELO JUNIOR,506.226,8130,16.06,8280,99.6,0.744,-,59458512.08,55541738.45,26206.9,
Areias,3503505,areiense,RODRIGO JOSE RAMOS DE OLIVEIRA,305.227,3577,11.72,3625,96.8,0.697,37.74,45692007.27,44605650.62,14877.99,
Areiópolis,3503604,areiopolitano,MICHEL HENRIQUE AUGUSTO,85.907,10130,117.92,10257,97.3,0.695,39.37,66850682.72,66509756.78,14577.19,
Ariranha,3503703,ariranhense,EMERSON ANTONIO TROVÓ,132.624,7602,57.32,7653,99.6,0.733,-,70695208.84,67943426.22,115410.74,
Artur Nogueira,3503802,nogueirense,LUCAS SIA RISSATO,178.026,51456,289.04,53157,98.3,0.749,1.65,319157474.04,308062799.62,30610.29,
Arujá,3503901,arujaense / arujano,LUIS ANTONIO DE CAMARGO,96.167,86678,901.33,89943,98.2,0.784,13.18,655276111.01,600366081.39,89703.63,
Aspásia,3503950,aspasiense,IVAN DE PAULA,69.373,1842,26.55,1873,97.1,0.735,-,31674801.57,24980474.48,21788.35,
Assis,3504008,assisense,TELMA GONCALVES CARNEIRO SPERA DE ANDRADE,460.609,101409,220.16,104642,98.9,0.805,12.49,639233100.22,648630967.3,38598.78,
Atibaia,3504107,atibaiano,DANIEL DA ROCHA MARTINI,478.521,158647,331.54,166043,97.3,0.765,11.35,1293002954.41,1255111549.73,57512.36,
Auriflama,3504206,auriflamense,KATIA CONCEIÇÃO MORITA DE CARVALHO,434.498,13692,31.51,13873,98.8,0.773,15.15,87714317.09,84911843.08,23409.76,
Avaí,3504305,avaiense,HELLEN FERNANDES RODRIGUES COELHO,540.689,4483,8.29,4519,99.4,0.714,14.29,54228875.89,46901573.14,68793.46,
Avanhandava,3504404,avanhandavense,NORBERTO CESAR BERALDO,338.370,11263,33.29,11438,97.2,0.705,7.69,79433258.17,70174353.02,14178.27,
Avaré,3504503,avareense,ROBERTO DE ARAUJO,1213.055,92805,76.51,96098,97.9,0.767,20.17,593541160.24,519109752.16,35721.22,
Bady Bassitt,3504602,badiense,JANIMEIRI CATELANI BUZZI,110.372,27260,246.98,28909,98.5,0.746,5.48,172490974.52,156459039.57,30636.12,
Balbinos,3504701,balbinense,JOSE MARCIO RIGOTTO,91.635,3887,42.42,3963,98.9,0.669,-,29592681.88,23479529.56,10674.14,
Bálsamo,3504800,balsamense,JOSE EDUARDO NALIATI JUNIOR,149.881,9596,64.02,9854,99,0.756,10.53,62192538.6,56544571.07,30257.55,
Bananal,3504909,bananalense,WILLIAM LANDIM DA SILVA,616.429,9969,16.17,10109,97.1,0.733,21.51,79694671.28,70292894.89,19568.66,
Barão de Antonina,3505005,barãoense,RODRIGO WALDEMAR MARQUES,153.142,3531,23.06,3618,100,0.711,-,37720370.32,31330760.66,21264.23,
Barbosa,3505104,barbosano,RODRIGO PRIMO ANTUNES,205.212,5640,27.48,5659,98.4,0.699,-,50075629.73,44420167.33,14488.16,
