Estados do Brasil
UF [-],C&oacute;digo [-],Gent&iacute;lico [-],Governador [2023],Capital [2010],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Matrículas no ensino fundamental - matr&iacute;culas [2023],IDH &lt;span&gt;Índice de desenvolvimento humano&lt;/span&gt; [2021],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],Rendimento mensal domiciliar per capita - R$ [2024],Total de ve&iacute;culos - ve&iacute;culos [2024],
Acre,12,acriano,GLADSON DE LIMA CAMELI,Rio Branco,164082.960,830018,5.06,880631,147350,0.71,13048056395.57,11788059680.06,1271,367440,
Alagoas,27,alagoano,PAULO SURUAGY DO AMARAL DANTAS,Macei&oacute;,27830.661,3127683,112.38,3220104,439014,0.684,24299660302.19,19654130177.5,1331,1166897,
Amap&aacute;,16,amapaense,CL&Eacute;CIO LU&Iacute;S VILHENA VIEIRA,Macap&aacute;,142253.880,733759,5.15,802837,131948,0.688,12444921841.02,9997219256.84,1514,258190,
Amazonas,13,amazonense,WILSON MIRANDA LIMA,Manaus,1558706.127,3941613,2.53,4281209,692623,0.7,38108023638.97,34546685160.71,1238,1202431,
Bahia,29,baiano,JER&Ocirc;NIMO RODRIGUES SOUZA,Salvador,564760.429,14141626,25.04,14850513,1865574,0.691,92598014353.89,74622416892.94,1366,5389511,
Cear&aacute;,23,cearense,ELMANO DE FREITAS DA COSTA,Fortaleza,148894.444,8794957,59.07,9233656,1134636,0.734,51762071526.15,43315345558.23,1225,3905225,
Distrito Federal,53,brasiliense,IBANEIS ROCHA BARROS J&Uacute;NIOR,Bras&iacute;lia,5760.783,2817381,489.06,2982818,361438,0.814,39292604227.49,40544317416.36,3444,2159414,
Esp&iacute;rito Santo,32,capixaba ou esp&iacute;rito-santense,JOS&Eacute; RENATO CASAGRANDE,Vit&oacute;ria,46074.448,3833712,83.21,4102129,498357,0.771,38776769103.75,28340615872.45,2111,2494996,
Goi&aacute;s,52,goiano,RONALDO RAMOS CAIADO,Goi&acirc;nia,340242.860,7056495,20.74,7350483,868222,0.737,63873309532.19,43849700430.39,2098,4926608,
Maranh&atilde;o,21,maranhense,CARLOS ORLEANS BRAND&Atilde;O J&Uacute;NIOR,S&atilde;o Lu&iacute;s,329651.478,6776699,20.56,7010960,1045700,0.676,40039596273.09,29390219743.58,1077,2248041,
Mato Grosso,51,mato-grossense,MAURO MENDES FERREIRA,Cuiab&aacute;,903208.362,3658649,4.05,3836399,507089,0.736,58341540421.22,39227554860.14,2276,2831640,
Mato Grosso do Sul,50,sul-mato-grossense ou mato-grossense-do-sul,EDUARDO CORREA RIEDEL,Campo Grande,357142.010,2757013,7.72,2901895,393616,0.742,36684198524.81,24947812480.43,2169,1967775,
Minas Gerais,31,mineiro,ROMEU ZEMA NETO,Belo Horizonte,586513.984,20539989,35.02,21322691,2343279,0.774,154226223242.27,118410573407.34,2001,13975854,
Par&aacute;,15,paraense,HELDER ZAHLUTH BARBALHO,Bel&eacute;m,1245828.829,8120131,6.52,8664306,1331723,0.69,58736419115.84,48729559547.38,1344,2810011,
Para&iacute;ba,25,paraibano,JO&Atilde;O AZEVEDO LINS FILHO,Jo&atilde;o Pessoa,56467.242,3974687,70.39,4145040,523996,0.698,26498748705.71,20086870981.33,1401,1681969,
Paran&aacute;,41,paranaense,CARLOS ROBERTO MASSA JUNIOR,Curitiba,199298.981,11444380,57.42,11824665,1365869,0.769,96967354471.05,74157118352.72,2482,9179769,
Pernambuco,26,pernambucano,RAQUEL TEIXEIRA LYRA LUCENA,Recife,98067.879,9058931,92.37,9539029,1229419,0.719,61224519352.34,48914926158.46,1453,3730069,
Piau&iacute;,22,piauiense,RAFAEL TAJRA FONTELES,Teresina,251755.499,3271199,12.99,3375646,439111,0.69,25541836539.29,22932199429.34,1350,1527217,
Rio de Janeiro,33,fluminense,CL&Aacute;UDIO BOMFIM DE CASTRO E SILVA,Rio de Janeiro,43750.425,16055174,366.97,17219679,1945098,0.762,128775762608.01,108526792476.1,2490,7973983,
