Código [-],Município [-],UF [-],DC [2024],RCL [2024],CAPAG [2024]
5200050,Abadia de Goiás,GO,2446032.22,101196448.46,A
3100104,Abadia dos Dourados,MG,5029245.91,42301811.34,B
5200100,Abadiânia,GO,29188176.89,86293622.16,C
3100203,Abaeté,MG,36123247.26,104970638.92,B
1500107,Abaetetuba,PA,6615287.05,562673067.9,B
2300101,Abaiara,CE,16610753.03,53797337.12,C
2900108,Abaíra,BA,28288461.25,35943976.92,C
2900207,Abaré,BA,73642826.35,94907849.73,C
4100103,Abatiá,PR,9553819.79,40735645.03,A
4200051,Abdon Batista,SC,3822307.63,40033707.35,A
1500131,Abel Figueiredo,PA,2543921.28,42778098.36,B
4200101,Abelardo Luz,SC,19528553.63,118892819.52,A
3100302,Abre Campo,MG,20441094.24,65187835.03,B
2600054,Abreu e Lima,PE,12324858.85,281462232.77,A
1700251,Abreulândia,TO,2390474.08,29498406.45,C
3100401,Acaiaca,MG,627922.44,28403335.38,n.d.
2100055,Açailândia,MA,53746209.19,575137281.8,B
2900306,Acajutiba,BA,49325595.42,107184821.43,n.d.
1500206,Acará,PA,4328712.03,328398489.9,C
2300150,Acarape,CE,29516911.84,85169639.15,B
2300200,Acaraú,CE,107052156.37,314604299.43,C
2400109,Acari,RN,10486869.55,52697357.1,B
2200053,Acauã,PI,162941.13,34900855.79,C
4300034,Aceguá,RS,0.0,53599870.8,C
2300309,Acopiara,CE,78324568.18,201153063.63,C
5100102,Acorizal,MT,5451475.75,37727212.88,C
1200013,Acrelândia,AC,4620276.04,64189184.66,C
5200134,Acreúna,GO,1740690.65,121717423.94,A
2400208,Açu,RN,42259966.67,243111319.22,C
3100500,Açucena,MG,344042.45,39226975.75,C
3500105,Adamantina,SP,21357152.59,290492565.56,A
5200159,Adelândia,GO,928297.07,25079101.97,n.d.
3500204,Adolfo,SP,2006232.19,41472390.88,n.d.
4100202,Adrianópolis,PR,0.0,0.0,n.e.
2900355,Adustina,BA,46124174.83,101915783.36,B
2600104,Afogados da Ingazeira,PE,17279375.92,181869339.63,C
2400307,Afonso Bezerra,RN,16812340.19,58067772.25,C
3200102,Afonso Cláudio,ES,0.0,151532931.61,C
2100105,Afonso Cunha,MA,0.0,70229546.57,C
2600203,Afrânio,PE,22046006.42,95513777.08,B
1500305,Afuá,PA,4953677.47,201133117.79,C
2600302,Agrestina,PE,19986465.64,116659047.46,C
2200103,Agricolândia,PI,300592.09,36632009.8,B
4200200,Agrolândia,SC,11236977.54,71100738.16,A
4200309,Agronômica,SC,2816396.33,43068289.62,B
1500347,Água Azul do Norte,PA,9778663.83,128603015.05,B
3100609,Água Boa,MG,7714560.78,63585784.71,C
5100201,Água Boa,MT,15989181.04,258293461.82,B
2200202,Água Branca,PI,8628424.6,113398251.66,B
2500106,Água Branca,PB,13433275.28,60682155.71,C
2700102,Água Branca,AL,6437093.78,158914128.83,A
5000203,Água Clara,MS,32914030.02,183821322.28,A
3100708,Água Comprida,MG,146134.78,37410843.08,A
4200408,Água Doce,SC,8494451.72,73174579.01,A
2100154,Água Doce do Maranhão,MA,70907790.18,76250179.72,C
3200169,Água Doce do Norte,ES,13686679.08,65487183.43,C
2900405,Água Fria,BA,32462651.47,93483135.4,n.e.
5200175,Água Fria de Goiás,GO,1083738.49,43510211.52,n.d.
5200209,Água Limpa,GO,2504801.84,27677694.33,n.d.
2400406,Água Nova,RN,2760272.93,25769808.68,n.d.
2600401,Água Preta,PE,21727140.63,124437436.73,C
4300059,Água Santa,RS,3695991.64,36596269.35,B
3500303,Aguaí,SP,0.0,0.0,n.d.
3100807,Aguanil,MG,679577.91,33317526.87,n.e.
2600500,Águas Belas,PE,41585009.53,183443596.63,C
3500402,Águas da Prata,SP,105453.21,45053767.97,n.d.
4200507,Águas de Chapecó,SC,4787005.46,37388895.66,C
3500501,Águas de Lindóia,SP,18361413.97,147794610.56,n.d.
3500550,Águas de Santa Bárbara,SP,454075.0,64869480.3,B
3500600,Águas de São Pedro,SP,758795.02,53196338.68,n.d.
3100906,Águas Formosas,MG,12425581.01,90063122.18,C
